figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	validation_class	n_modules	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	independent_evidence_priority_score	n_non_tiny_concordant_moderate_datasets	biological_priority	preterm_vs_term_effect	preterm_tissue_coherence	preterm_direction	infection_outcome_relation	refined_preterm_effect_class	refined_infection_outcome_relation	manuscript_claim_priority	_x	_y	contrast_id	biological_context	evidence_tier	group_a	group_b	n_group_a	n_group_b	model_estimate	model_standard_error	model_t_value	model_p_value	degrees_freedom	model_q_within_contrast	model_fdr_0_05	model_fdr_0_10	_value	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	_size
Figure_2	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network	0.538690474302069	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.3204751494814873	3.0	2.0	1.0	0.6666666666666666	0.8641483516483516																																																
Figure_2	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	-0.0467415211978371	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.0900382817237325	3.0	1.0	2.0	0.6666666666666666	0.7957454254574543																																																
Figure_2	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.1040068212709447	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0344466932821367	3.0	2.0	1.0	0.6666666666666666	0.8707596751075012																																																
Figure_2	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	0.2246946199165754	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.016686435982483	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																
Figure_2	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	0.0071667134795168	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1821697639014882	3.0	2.0	1.0	0.6666666666666666	0.8641483516483516																																																
Figure_2	B	recurrence_ranking																						two_dataset_concordant_effect	5.0																																														
Figure_2	B	recurrence_ranking																						one_FDR_dataset_plus_independent_concordant_effect	5.0																																														
Figure_2	B	recurrence_ranking																						context_divergent_or_tissue_specific	21.0																																														
Figure_2	B	recurrence_ranking																						limited_independent_support	47.0																																														
Figure_2	C	refined_core					adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8														one_FDR_dataset_plus_independent_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.3544;GSE186800:0.7289;GSE252321:0.9901;GSE280297:0.3395	4.0	0.0	positive	1.0	0.541669623390839	0.541669623390839	0.9900621618745398	1.0	2.0	1.0	13.041669623390838	1.0	robust_core	-0.7524117043029656	1.0	negative	direction_reversal	negative	direction_reversal	primary_mechanistic_result_with_state_dependent_reversal																							
Figure_2	C	refined_core					immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network														one_FDR_dataset_plus_independent_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.2496;GSE186800:0.3427;GSE252321:0.5280;GSE280297:0.5387	4.0	0.0	positive	1.0	0.4353389423735531	0.4353389423735531	0.538690474302069	1.0	2.0	0.0	10.435338942373551	1.0	robust_core	-0.0580089231599877	1.0	negative	direction_reversal	near_neutral	pregnancy_near_neutral	primary_mechanistic_result_without_material_pregnancy_outcome_shift																							
Figure_2	C	refined_core					insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8														one_FDR_dataset_plus_independent_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.3307;GSE186800:0.7117;GSE252321:0.5145;GSE280297:0.1040	4.0	0.0	positive	1.0	0.4225934839620864	0.4225934839620864	0.7116572012171	1.0	2.0	0.0	10.422593483962086	1.0	robust_core	-0.6352753686157185	1.0	negative	direction_reversal	negative	direction_reversal	primary_mechanistic_result_with_state_dependent_reversal																							
Figure_2	C	refined_core					complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10														one_FDR_dataset_plus_independent_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5287;GSE186800:-0.0500;GSE252321:1.2720;GSE280297:0.0681	3.0	1.0	positive	0.6923076923076923	0.298388616388004	0.298388616388004	1.271995088268732	1.0	2.0	1.0	12.490696308695696	0.0	provisional_core_exploratory_dependent	-0.4971530114341522	0.6666666666666666	negative	direction_reversal	negative	direction_reversal	secondary_result_pending_celltype_reconstruction_with_state_dependent_reversal																							
Figure_2	C	refined_core					complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10														one_FDR_dataset_plus_independent_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5414;GSE186800:-0.4518;GSE252321:0.6107;GSE280297:0.4246	3.0	1.0	positive	0.6923076923076923	0.4829852364211686	0.4965995723953375	0.6106585347065031	1.0	2.0	0.0	10.18890726470303	0.0	provisional_core_exploratory_dependent	0.2878657120830686	1.0	positive	direction_preserved	positive	direction_preserved	secondary_result_pending_celltype_reconstruction																							
Figure_2	C	refined_core					carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8														two_dataset_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1062;GSE186800:0.5936;GSE252321:1.6018;GSE280297:-0.0040	3.0	1.0	positive	0.6923076923076923	0.3499072114078969	0.3499072114078969	1.601768502216392	0.0	2.0	1.0	7.542214903715589	1.0	secondary	-0.3027964300522092	0.6666666666666666	negative	direction_reversal	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal																							
Figure_2	C	refined_core					amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9														two_dataset_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1404;GSE186800:0.5415;GSE252321:1.5424;GSE280297:-0.0779	3.0	1.0	positive	0.6923076923076923	0.3409446146827993	0.3409446146827993	1.5424044949776037	0.0	2.0	1.0	7.533252306990492	1.0	secondary	-0.9110329763420932	1.0	negative	direction_reversal	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal																							
Figure_2	C	refined_core					lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7														two_dataset_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1915;GSE186800:0.5714;GSE252321:-0.5137;GSE280297:0.2247	3.0	1.0	positive	0.9230769230769232	0.2080725269100141	0.3692213160050505	0.5714152946126717	0.0	2.0	0.0	5.2922982390819735	1.0	secondary	-0.501122242204225	1.0	negative	direction_reversal	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal																							
Figure_2	C	refined_core					insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8														two_dataset_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1896;GSE186800:0.6586;GSE252321:0.6087;GSE280297:-0.0467	3.0	1.0	positive	0.6923076923076923	0.3991139711995472	0.3991139711995472	0.6586311933890442	0.0	2.0	0.0	5.09142166350724	1.0	secondary	-0.6759836665295377	1.0	negative	direction_reversal	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal																							
Figure_2	C	refined_core					steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7														two_dataset_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0904;GSE186800:0.6070;GSE252321:0.5369;GSE280297:0.0072	3.0	1.0	positive	0.6923076923076923	0.2720276673114186	0.3136492338473797	0.6070000780702226	0.0	2.0	0.0	5.005956926155072	1.0	secondary	-0.8043093611651837	1.0	negative	direction_reversal	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal																							
Figure_2	D	refined_core					complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10														one_FDR_dataset_plus_independent_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5287;GSE186800:-0.0500;GSE252321:1.2720;GSE280297:0.0681	3.0	1.0	positive	0.6923076923076923	0.298388616388004	0.298388616388004	1.271995088268732	1.0	2.0	1.0	12.490696308695696	0.0	provisional_core_exploratory_dependent	-0.4971530114341522	0.6666666666666666	negative	direction_reversal	negative	direction_reversal	secondary_result_pending_celltype_reconstruction_with_state_dependent_reversal	0.298388616388004	-0.4971530114341522																					
Figure_2	D	refined_core					complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10														one_FDR_dataset_plus_independent_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5414;GSE186800:-0.4518;GSE252321:0.6107;GSE280297:0.4246	3.0	1.0	positive	0.6923076923076923	0.4829852364211686	0.4965995723953375	0.6106585347065031	1.0	2.0	0.0	10.18890726470303	0.0	provisional_core_exploratory_dependent	0.2878657120830686	1.0	positive	direction_preserved	positive	direction_preserved	secondary_result_pending_celltype_reconstruction	0.4829852364211686	0.2878657120830686																					
Figure_2	E	gse112098_adjusted		GSE112098		submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10			positive																																						GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41.0	32.0	0.5414109040698384	0.1324910633048545	4.086395644844982	0.0001165081738667	69.0	0.0023884175642688	True	True	0.5414109040698384					
Figure_2	E	gse112098_adjusted		GSE112098		submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10			positive																																						GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41.0	32.0	0.5287083346929622	0.142115262483602	3.7202783533117496	0.0004017094377843	69.0	0.0047057391283306	True	True	0.5287083346929622					
Figure_2	E	gse112098_adjusted		GSE112098		submodule	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8			positive																																						GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41.0	32.0	0.5185656802666957	0.1333604212507588	3.888452626372797	0.0002292801785566	69.0	0.0031334957736074	True	True	0.5185656802666957					
