feature_id	C1_PRETERM_VS_TERM | bladder	C1_PRETERM_VS_TERM | placenta	C1_PRETERM_VS_TERM | uterus	C2_UPEC_VS_PBS_PREGNANCY | bladder	C2_UPEC_VS_PBS_PREGNANCY | placenta	C2_UPEC_VS_PBS_PREGNANCY | uterus	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder
COMPLEMENT_OPSONOPHAGOCYTOSIS	0.2878657120830686	0.2790208461456774	0.2985457207804661	0.4245595687724989	-0.2481381092563892	0.8797041911271781	0.6237123005145684
COMPLEMENT_REGULATORS	-0.1151856694214474	-0.216215191060664	0.001188584768105	0.523732131138319	0.4902339741032377	0.7446344914912053	0.3362592898366689
COMPLEMENT_TERMINAL_MAC	0.7169945504312463	-0.0553864091235507	0.5744464349606124	-0.0039671268564699	0.0283417151003333	0.960613721304766	0.7778746537245376
EICOSANOID_PROSTAGLANDIN_METABOLISM	-0.2186378504107874	0.2060843430332685	-0.0032170257227447	0.3904999292022162	0.0704649243100196	-0.0155996195816466	0.7027911556992366
ESTROGEN_BIOSYNTHESIS	-0.4314114662750183	-0.2679451119744505	0.2147468730136336	0.2235907207186629	-0.3716556694064157	0.4930960806800092	0.1445432056417865
ESTROGEN_RECEPTOR_RESPONSE	-1.0495272485911142	-0.4053843847647264	-0.9114340045584498	-0.0493894383806294	0.1650461221863599	0.2779446737294523	0.8583021267150158
FATTY_ACID_BETA_OXIDATION	-0.3720436296384718	-0.2829279944810432	0.1811807727377382	0.3260981822439222	-0.3734393115817846	0.5782000396501533	0.3995889192882762
FATTY_ACID_SYNTHESIS	-0.5578197467343663	-0.501122242204225	-0.270952121788552	0.2246946199165754	-0.5753774682279177	0.4007421562587914	-0.075914932814035
FERROPTOSIS_LIPID_PEROXIDATION	-0.5925260737580739	-0.159494278806105	0.1916542033028043	1.1508293610411644	-0.0051843513252547	-0.0542995570077241	-0.0367792042020151
GLUCOCORTICOID_RESPONSE	-0.9410623700628638	-0.8259823876820072	-0.6577090767419905	-0.1915696360361809	0.024692674055856	0.1149123657185248	1.1970524508315372
GLUCONEOGENESIS	0.17075358174412	0.018749118535845	-0.2986875855793756	0.2826640207251812	-0.6544321347134042	1.1931810405762515	0.4135757307217111
GLUCOSE_TRANSPORT	-0.3055608272910256	-0.1647236269037929	-1.0447689218991196	0.3864424762040065	-0.3233823817905002	-0.6092977276087711	0.3878625073966227
GLUTAMINE_GLUTAMATE	-1.0249915329895265	-0.229458306686825	-0.3796808399169906	0.350348813405367	-0.5695363223634324	-0.0118072454892652	0.6138301412544115
GLYCOGENOLYSIS	-0.2908785058860659	0.0171639602762171	0.3340755412182413	0.0977903621847027	-0.6468012762765816	0.3112890492426151	0.6140594410410555
GLYCOGEN_SYNTHESIS	-1.2540676429955062	-0.3027964300522092	0.1530805966501361	0.1242881410695237	-0.7712347344448531	-0.0039774294391697	0.4517031258990725
GLYCOLYSIS	-0.1598284548654182	-0.2352893282173559	0.3445146485825169	0.5614228522935835	-0.7990386620142167	-0.406645615550242	1.0101712519678727
