final_figure	panel	panel_key	source_id	rank	candidate_score	candidate_path	candidate_filename	candidate_phase	candidate_columns	schema_read_error
Figure_1	E	Figure_1E	phase_workflow_manifest	8	17.0	project://06_tables/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_figure_output_manifest.tsv	UTI_HostOmics_U27A3_figure_output_manifest.tsv	phaseU27A3_visual_diversity_redesign	figure;path;format;size_bytes	
Figure_1	F	Figure_1F	U26C1_evidence_tiers	1	50.5	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	phaseU26C1_interpretation_threshold_and_branch_refinement	feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority	
Figure_1	F	Figure_1F	U26C1_evidence_tiers	2	42.0	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_Figure_11_architecture.tsv	UTI_HostOmics_U26C1_refined_Figure_11_architecture.tsv	phaseU26C1_interpretation_threshold_and_branch_refinement	panel;panel_title;feature_id;display_label;biological_priority;infection_direction;infection_coherence;preterm_effect;preterm_effect_class;infection_outcome_relation;figure_role	
Figure_1	F	Figure_1F	U26C1_evidence_tiers	3	42.0	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_decoupling_domains.tsv	UTI_HostOmics_U26C1_refined_decoupling_domains.tsv	phaseU26C1_interpretation_threshold_and_branch_refinement	domain;n_features;median_effect;mean_effect;n_positive;n_negative;directional_coherence;dominant_direction;refined_effect_class;refined_interpretation	
Figure_1	F	Figure_1F	U26C1_evidence_tiers	4	37.0	project://03_metadata/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_interpretation_correction_log.tsv	UTI_HostOmics_U26C1_interpretation_correction_log.tsv	phaseU26C1_interpretation_threshold_and_branch_refinement	issue;original;revised;basis	
Figure_1	F	Figure_1F	U26C1_evidence_tiers	5	30.0	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_phase_decision.tsv	UTI_HostOmics_U26C1_phase_decision.tsv	phaseU26C1_interpretation_threshold_and_branch_refinement	phase;decision;near_neutral_absolute_effect_threshold;n_robust_core_modules;n_provisional_core_modules;n_secondary_modules;n_true_direction_reversals;TLR4_pregnancy_class;steroid_synthesis_domain;complement_domain;manuscript_modified;existing_figures_modified;next_phase	
Figure_1	F	Figure_1F	U26C1_evidence_tiers	6	12.0	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_harmonized_effect_evidence.tsv	UTI_HostOmics_U26B2B_harmonized_effect_evidence.tsv	phaseU26B2B_cross_dataset_scoring_integration	dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;effect_value;effect_metric;p_value;q_value;fdr_0_10;direction;n_group_a;n_group_b	
Figure_1	F	Figure_1F	U26C1_evidence_tiers	7	12.0	project://06_tables/phaseU26C_biological_synthesis_figure_architecture/UTI_HostOmics_U26C_Figures_7_to_11_panel_evidence.tsv	UTI_HostOmics_U26C_Figures_7_to_11_panel_evidence.tsv	phaseU26C_biological_synthesis_figure_architecture	figure_family;figure_title;panel;panel_title;panel_purpose;module_rank;feature_id;display_label;validation_class;infection_direction;infection_coherence;preterm_effect;preterm_coherence;dataset_effects	
Figure_1	F	Figure_1F	U26C1_evidence_tiers	8	12.0	project://06_tables/phaseU26C_biological_synthesis_figure_architecture/UTI_HostOmics_U26C_Figure_11_panel_evidence.tsv	UTI_HostOmics_U26C_Figure_11_panel_evidence.tsv	phaseU26C_biological_synthesis_figure_architecture	figure_family;figure_title;panel;panel_title;panel_purpose;module_rank;feature_id;display_label;validation_class;infection_direction;infection_coherence;preterm_effect;preterm_coherence;dataset_effects	
Figure_2	A	Figure_2A	U26B2B1_primary_effects	1	44.0	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE186800_FDR10_noninfection_effects.tsv	UTI_HostOmics_U26B2B1_GSE186800_FDR10_noninfection_effects.tsv	phaseU26B2B1_independent_dataset_evidence_collapse	dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;effect_value;effect_metric;p_value;q_value;fdr_0_10;direction;n_group_a;n_group_b;fdr_bool;interpretation_boundary	
Figure_2	A	Figure_2A	U26B2B1_primary_effects	2	42.0	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	phaseU26B2B1_independent_dataset_evidence_collapse	dataset;primary_context;feature_type;axis;feature_id;display_label;proposed_figure_family;effect_value;effect_metric;direction;fdr_0_10;q_value;evidence_weight;interpretation_role;mean_tissue_effect;n_tissues;n_positive_tissues;n_negative_tissues;tissue_directional_coherence;best_tissue_q_value	
Figure_2	A	Figure_2A	U26B2B1_primary_effects	3	42.0	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	phaseU26B2B1_independent_dataset_evidence_collapse	feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score	
Figure_2	A	Figure_2A	U26B2B1_primary_effects	4	42.0	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_effect_matrix.tsv	UTI_HostOmics_U26B2B1_independent_dataset_effect_matrix.tsv	phaseU26B2B1_independent_dataset_evidence_collapse	feature_id;GSE112098;GSE186800;GSE252321;GSE280297	
Figure_2	A	Figure_2A	U26B2B1_primary_effects	5	39.0	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE186800_block_interaction_effects.tsv	UTI_HostOmics_U26B2B1_GSE186800_block_interaction_effects.tsv	phaseU26B2B1_independent_dataset_evidence_collapse	dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;effect_value;effect_metric;p_value;q_value;fdr_0_10;direction;n_group_a;n_group_b;fdr_bool;interpretation_boundary	
Figure_2	A	Figure_2A	U26B2B1_primary_effects	6	39.0	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_UPEC_tissue_heterogeneity.tsv	UTI_HostOmics_U26B2B1_GSE280297_UPEC_tissue_heterogeneity.tsv	phaseU26B2B1_independent_dataset_evidence_collapse	dataset;analysis_family;tissue;feature_type;axis;feature_id;display_label;proposed_figure_family;effect_value;q_value;fdr_0_10;direction	
Figure_2	A	Figure_2A	U26B2B1_primary_effects	7	39.0	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	phaseU26B2B1_independent_dataset_evidence_collapse	dataset;analysis_family;tissue;feature_type;axis;feature_id;display_label;proposed_figure_family;effect_value;q_value;fdr_0_10;direction	
