population_level	population	feature_id	display_label	axis	proposed_figure_family	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	direction	exact_permutation_q_within_population
refined_subtype	C1Q_APOE_resident_macrophage	COMPLEMENT_REGULATORS	Complement regulators	complement_architecture	Figure_10	12	5	0.4166666666666667	True	0.4447453911246148	-0.44474539112461464	-0.8894907822492295	-3.1827046445007623	0.3333333333333333	-1.0306058222993846	-1.1814883232622866	0.2	0.8	0.8	lower_in_UPEC	0.6403508771929824
refined_subtype	C1Q_APOE_resident_macrophage	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	complement_architecture	Figure_10	10	3	0.3	False											not_scored	
refined_subtype	C1Q_APOE_resident_macrophage	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	lipid_metabolism	Figure_7	17	15	0.8823529411764706	True	0.10252332944360683	-0.10252332944360495	-0.2050466588872118	-0.38964673623776536	1.0	-0.06995146581780011	-0.30816287222015326	0.4666666666666667	0.5333333333333333	0.5333333333333333	lower_in_UPEC	1.0
refined_subtype	C1Q_APOE_resident_macrophage	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	steroid_cholesterol_endocrine	Figure_7	9	6	0.6666666666666666	True	0.39811838059029553	-0.3981183805902961	-0.7962367611805916	-1.896006821581527	0.3333333333333333	-0.5399503694057758	-0.7617750002396528	0.16666666666666666	0.8333333333333334	0.8333333333333334	lower_in_UPEC	0.6403508771929824
refined_subtype	C1Q_APOE_resident_macrophage	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	steroid_cholesterol_endocrine	Figure_7	13	9	0.6923076923076923	True	-0.04138526673336465	0.041385266733364776	0.08277053346672943	0.09128271789663234	1.0	-0.0807112960582267	-0.12374971455231831	0.4444444444444444	0.5555555555555556	0.5555555555555556	higher_in_UPEC	1.0
refined_subtype	C1Q_APOE_resident_macrophage	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	lipid_metabolism	Figure_7	16	14	0.875	True	0.450097763878285	-0.4500977638782841	-0.9001955277565691	-1.7644187472980413	0.3333333333333333	-0.37132079881370916	-0.4190694173262526	0.21428571428571427	0.7857142857142857	0.7857142857142857	lower_in_UPEC	0.6403508771929824
refined_subtype	C1Q_APOE_resident_macrophage	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	lipid_metabolism	Figure_7	14	12	0.8571428571428571	True	0.11927390927006963	-0.11927390927006859	-0.23854781854013823	-1.1742327327825945	0.3333333333333333	0.13438165462002924	-0.06513748525474305	0.4166666666666667	0.5833333333333334	0.5833333333333334	lower_in_UPEC	0.6403508771929824
refined_subtype	C1Q_APOE_resident_macrophage	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	lipid_metabolism	Figure_7	16	15	0.9375	True	-0.12754148564618467	0.127541485646185	0.2550829712923697	1.2980628104384149	0.3333333333333333	0.41442432865215734	0.23089896092060336	0.6666666666666666	0.3333333333333333	0.6666666666666666	higher_in_UPEC	0.6403508771929824
refined_subtype	C1Q_APOE_resident_macrophage	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	steroid_cholesterol_endocrine	Figure_7	13	11	0.8461538461538461	True	-0.09906966669661851	0.09906966669661964	0.19813933339323814	0.244146668036019	1.0	0.3681886323387291	0.3695897557778931	0.5454545454545454	0.45454545454545453	0.5454545454545454	higher_in_UPEC	1.0
refined_subtype	C1Q_APOE_resident_macrophage	GLUCONEOGENESIS	Gluconeogenesis	carbohydrate_inflammatory_carbon	Figure_8	12	8	0.6666666666666666	True	0.26228339019673713	-0.2622833901967356	-0.5245667803934727	-0.674603273802971	0.6666666666666666	-0.09130524057728684	-0.3127299363317426	0.25	0.75	0.75	lower_in_UPEC	0.9012345679012346
