feature_id	axis	display_label	proposed_figure_family	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	validation_class	independent_evidence_priority_score
CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	catecholamine_stress_adjacent	Catecholamine biosynthesis and degradation	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0011;GSE186800:0.0556;GSE252321:-0.9055;GSE280297:0.1396	3	1	positive	0.9230769230769231	0.02837036553260575	0.09758924364549235	0.9055424845650673	0	1	1	limited_independent_support	6.020666166722416
PURINE_SALVAGE	nucleotide_nad_nitrogen	Purine salvage	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1052;GSE186800:0.1308;GSE252321:1.4487;GSE280297:-0.4471	3	1	positive	0.6923076923076923	0.118032238483875	0.28896811687876217	1.4487437909106362	0	1	1	limited_independent_support	5.981275809186455
GLUCOSE_TRANSPORT	carbohydrate_inflammatory_carbon	Glucose transport	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0074;GSE186800:0.3861;GSE252321:1.3651;GSE280297:-0.3234	2	2	negative	0.6153846153846154	0.18935548576072433	0.3547661627287148	1.3650722104202886	0	1	1	context_divergent_or_tissue_specific	5.97015077811333
LIPID_DROPLET_DYNAMICS	lipid_metabolism	Lipid-droplet dynamics	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0227;GSE186800:0.3179;GSE252321:7.6589;GSE280297:0.2193	3	1	positive	0.6923076923076923	0.2686248403681434	0.2686248403681434	7.658898539335444	0	1	1	limited_independent_support	5.960932532675836
TRYPTOPHAN_KYNURENINE	amino_acid_metabolism	Tryptophan-kynurenine metabolism	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0769;GSE186800:-0.3147;GSE252321:-1.1071;GSE280297:-0.0660	1	3	negative	0.6923076923076923	-0.19038803378944485	0.19581297310514095	1.1071274608568007	0	1	1	limited_independent_support	5.888120665412833
PLACENTAL_STEROID_METABOLISM	steroid_cholesterol_endocrine	Placental steroid metabolism	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.1552;GSE186800:0.1492;GSE252321:1.0602;GSE280297:-0.0658	2	2	negative	0.6153846153846154	0.04173892681296601	0.15223227307992737	1.0602349023846258	0	1	1	context_divergent_or_tissue_specific	5.767616888464542
AROMATIC_AMINO_ACID_METABOLISM	amino_acid_metabolism	Aromatic amino-acid metabolism	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0287;GSE186800:-0.0239;GSE252321:-2.3462;GSE280297:-0.0859	1	3	negative	0.6923076923076923	-0.054902410039262606	0.057330317488086854	2.3462045747340707	0	1	1	limited_independent_support	5.749638009795779
AMPK_INSULIN_COUNTERREGULATION	insulin_irs_signaling	AMPK counter-regulation of insulin signaling	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0960;GSE186800:0.8737;GSE252321:-0.0934;GSE280297:0.1432	2	2	positive	0.6153846153846154	0.024891192039635093	0.1195884262032442	0.8737464490100074	0	1	1	context_divergent_or_tissue_specific	5.7349730415878595
COMPLEMENT_COAGULATION_CROSSTALK	complement_architecture	Complement-coagulation crosstalk	Figure_10	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0119;GSE186800:0.0935;GSE252321:1.2139;GSE280297:-0.0385	2	2	negative	0.6153846153846154	0.0407853988300732	0.06599499266956885	1.2138848239356397	0	1	1	context_divergent_or_tissue_specific	5.681379608054184
FATTY_ACID_SYNTHESIS	lipid_metabolism	Fatty-acid synthesis	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1915;GSE186800:0.5714;GSE252321:-0.5137;GSE280297:0.2247	3	1	positive	0.9230769230769231	0.20807252691001416	0.3692213160050505	0.5714152946126717	0	2	0	two_dataset_concordant_effect	5.2922982390819735
