figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	index	C1 bladder	C1 placenta	C1 uterus	population_level	population	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction	n_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	n_high_or_moderate_populations	top_population_by_composite_score	top_population_composite_score	top_population_evidence_class	top_population_mean_gene_log2FC	top_population_gene_direction_coherence	top_population_hedges_g	top_population_variance_sensitive_g	top_to_second_score_ratio	cellular_localization_class	median_mean_gene_log2FC	median_gene_direction_coherence	median_composite_score	top_refined_subtype	top_refined_subtype_composite_score	top_refined_subtype_mean_gene_log2FC	top_refined_subtype_gene_direction_coherence	top_refined_subtype_hedges_g	top_refined_subtype_variance_sensitive_g	_label	_subtype	_score	infection	preterm	broad_populations_with_values
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10			lower_in_UPEC															broad_cell_type	NK_cell	10.0	7.0	0.7	True	0.0606088518908033	-0.0606088518908026	-0.1212177037816059	-0.8540158028291513	0.3333333333333333	0.3341886476146315	-0.3391605222542578	0.4285714285714285	0.5714285714285714	0.5714285714285714	0.6239316239316239	-0.8540158028291513	False	limited_cellular_support	0.4361713631360835	higher_in_UPEC																													
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10			lower_in_UPEC															broad_cell_type	NK_cell	10.0	8.0	0.8	True	0.132540233430322	-0.132540233430322	-0.265080466860644	-0.2031905016661895	1.0	-0.0043877012700597	-0.3391605222542579	0.25	0.75	0.75	1.0	-0.2031905016661895	False	limited_cellular_support	0.1992679813096726	lower_in_UPEC																													
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	Figure_10			higher_in_UPEC															broad_cell_type	NK_cell	16.0	10.0	0.625	True	-0.1525892182932457	0.1525892182932458	0.3051784365864916	1.8647788888003365	0.3333333333333333	0.3891892601406926	0.7502795279313401	0.7	0.3	0.7	0.6239316239316239	1.8647788888003365	False	moderate_cellular_localization_support	0.6767482230066569	higher_in_UPEC																													
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10			lower_in_UPEC															broad_cell_type	NK_cell	14.0	8.0	0.5714285714285714	True	0.1234394331864597	-0.1234394331864596	-0.2468788663729194	-0.3625571228535122	0.6666666666666666	0.0228325204878912	-0.3467957998464377	0.375	0.625	0.625	0.7978142076502732	-0.3625571228535122	False	limited_cellular_support	0.1443049807244533	higher_in_UPEC																													
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	Figure_10			higher_in_UPEC															broad_cell_type	NK_cell	12.0	5.0	0.4166666666666667	True	-0.0223788617190466	0.0223788617190467	0.0447577234380934	0.1119828481674121	1.0	-0.1087056551532836	0.2255329883463837	0.6	0.4	0.6	1.0	0.1119828481674121	False	directional_cellular_support	0.1790333744546964	lower_in_UPEC																													
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	Figure_10			higher_in_UPEC															broad_cell_type	T_cell	11.0	5.0	0.4545454545454545	True	-0.2019875452355976	0.2019875452355969	0.4039750904711946	0.4994205462904807	0.6666666666666666	0.9000209482169288	1.084305848116736	0.6	0.4	0.6	0.8248587570621468	0.4994205462904807	False	directional_cellular_support	0.5699420546290481	higher_in_UPEC																													
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10			higher_in_UPEC															broad_cell_type	T_cell	12.0	10.0	0.8333333333333334	True	-0.6431188986505733	0.6431188986505724	1.2862377973011456	1.2125005615031654	0.3333333333333333	1.445965355502325	1.256088487765693	1.0	0.0	1.0	0.5289855072463768	1.2125005615031654	False	high_cellular_localization_support	0.9212500561503166	higher_in_UPEC																													
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10			lower_in_UPEC															broad_cell_type	T_cell	10.0	7.0	0.7	True	0.141156577339254	-0.1411565773392543	-0.2823131546785083	-1.353759603958088	0.3333333333333333	0.1832812652245727	-0.2550631621694448	0.2857142857142857	0.7142857142857143	0.7142857142857143	0.5289855072463768	-1.353759603958088	False	directional_cellular_support	0.4503290990979242	higher_in_UPEC																													
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10			lower_in_UPEC															broad_cell_type	T_cell	10.0	8.0	0.8	True	0.186153706144558	-0.1861537061445579	-0.372307412289116	-0.3315617269650002	1.0	-0.2533334071541235	-0.4047538402126864	0.25	0.75	0.75	1.0	-0.3315617269650002	False	directional_cellular_support	0.4361562391352111	lower_in_UPEC																													
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	Figure_10			higher_in_UPEC															broad_cell_type	T_cell	16.0	10.0	0.625	True	-0.406569202509743	0.406569202509743	0.8131384050194861	3.252635181700805	0.3333333333333333	1.3070742184462008	1.4079413998898067	0.8	0.2	0.8	0.5289855072463768	3.252635181700805	False	high_cellular_localization_support	0.8600000000000001	higher_in_UPEC																													
