feature_id	C1_PRETERM_VS_TERM | bladder	C1_PRETERM_VS_TERM | placenta	C1_PRETERM_VS_TERM | uterus	C2_UPEC_VS_PBS_PREGNANCY | bladder	C2_UPEC_VS_PBS_PREGNANCY | placenta	C2_UPEC_VS_PBS_PREGNANCY | uterus	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder	C4_UTI89_RFP_VS_UTI89_TERM | bladder	C4_UTI89_RFP_VS_UTI89_TERM | placenta	C4_UTI89_RFP_VS_UTI89_TERM | uterus
PURINE_DEGRADATION_URATE	-0.4048342058971698	-0.3108743913931822	-0.32189190339566054	0.10290835911677075	-0.26922843628310844	-0.48946630789674495	1.0307811243653426	-0.6325185712393705	-0.8352172859741814	-0.4318874004529322
PYRIMIDINE_SYNTHESIS	-0.8425826478345854	0.42628090075666486	0.1124334054313158	0.9269698590723383	-0.6216850765687096	0.3663894515934957	0.5980736118976233	-1.1343642053428244	-0.9353244230350335	-0.572559304570359
PYRIMIDINE_DEGRADATION	-0.13085773278526414	0.8307072827642614	0.05430291705433447	1.1825503908015684	-0.7705917662725854	-0.4251442512349531	-0.4085835131015582	-0.4167538157159713	-0.6408389769699337	-0.10019117117408509
NAD_METABOLISM	-0.5157014834788579	-0.10071543859257645	0.0014363055145729814	0.24482614514599546	-0.564648844583666	0.7360484078283704	0.4449612884131995	-0.691028478727422	-1.206927748571089	-0.4418477845034615
UREA_CYCLE	-0.12029244043678912	-0.20133425669552515	0.5225718284765776	-0.02905041545749623	-0.36635976962830497	0.34806382965247634	0.5599540873201713	-1.2245171086202828	-1.4448792089606148	-1.1461183985237848
NITRIC_OXIDE_SYNTHESIS_REGULATION	-0.057118308562182	-0.016708353194814732	0.2290624948263601	0.5745950366293203	-0.48234324711313337	-0.8010822653736148	0.773978298768809	-0.42589805510986445	-0.8657954495551015	-1.1206562973999483
XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	0.00160252755795788	0.35991271938631103	0.6573314199215012	0.698496137927261	-0.5002606886809302	-0.011209243123791278	0.457025426352275	-0.1770200256929926	-0.5691005361594436	-0.06841478965755979
COMPLEMENT_CLASSICAL	0.47355567006108085	0.16668028270062613	0.6663628809423575	0.26534745738656723	-0.3581803266020909	0.7159321600271066	0.9339565793762142	0.23412207931396495	-0.32156980479439373	0.4091798264971804
COMPLEMENT_LECTIN	0.30225182465031436	-0.07134212785843957	0.5892011741991348	-0.06873522181429788	-0.10124787355620404	-0.559102393695678	1.0957972708101489	-0.14389874217768536	-0.5841549788046946	0.25332620737692163
COMPLEMENT_ALTERNATIVE	-0.040471499638027215	0.37208494426754174	0.130834045096689	0.2987179578977494	0.13011883065920044	0.961724494107166	0.7048957838255627	-0.3118848799748798	-0.2653204599182401	-0.5320511221195934
COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	0.20203594346381532	0.02058762294262827	0.6627100216153843	0.3000879207652096	-0.08005464904003996	1.1686840835533288	0.643811596451764	-0.098071009542147	-0.5213715916395579	-0.14353526014545123
COMPLEMENT_TERMINAL_MAC	0.7169945504312463	-0.05538640912355073	0.5744464349606124	-0.003967126856469938	0.028341715100333363	0.960613721304766	0.7778746537245376	0.06002628963799807	-0.9884917004139792	-0.18581465729366461
COMPLEMENT_REGULATORS	-0.1151856694214474	-0.21621519106066409	0.0011885847681050363	0.523732131138319	0.49023397410323777	0.7446344914912053	0.3362592898366689	-0.47014374411386245	-0.5595254124139925	-0.3353022630319871
COMPLEMENT_COAGULATION_CROSSTALK	-0.4873583777399255	-0.45553069998700174	-0.3220655969583369	0.36679882691370785	-0.03850614273964435	-0.15841861970313553	1.079559418900903	-1.0688513026790987	-0.919619051964466	-1.102946526583523
COMPLEMENT_OPSONOPHAGOCYTOSIS	0.2878657120830686	0.27902084614567746	0.29854572078046615	0.4245595687724989	-0.24813810925638924	0.8797041911271781	0.6237123005145684	0.13163420692233138	-0.12547500464225705	-0.09500881183622932
