feature_id	GSE112098 | GSE112098_SEPSIS_VS_VASCULAR_SURGERY	GSE112098 | GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	GSE186800 | GSE186800_AVERAGE_TREATMENT	GSE186800 | GSE186800_BLOCK_MAIN_PBS	GSE186800 | GSE186800_GARDNERELLA1_VS_PBS1	GSE186800 | GSE186800_GARDNERELLA2_VS_PBS2	GSE186800 | GSE186800_INTERACTION_RECURRENCE	GSE186800 | GSE186800_TREATMENT_BLOCK1	GSE186800 | GSE186800_TREATMENT_BLOCK2	GSE252321 | GSE252321_UPEC_VS_CONTROL	GSE280297 | C1_PRETERM_VS_TERM__bladder	GSE280297 | C1_PRETERM_VS_TERM__placenta	GSE280297 | C1_PRETERM_VS_TERM__uterus	GSE280297 | C2_UPEC_VS_PBS_PREGNANCY__bladder	GSE280297 | C2_UPEC_VS_PBS_PREGNANCY__placenta	GSE280297 | C2_UPEC_VS_PBS_PREGNANCY__uterus	GSE280297 | C3_INFECTED_PREGNANT_VS_NONPREGNANT__bladder
COMPLEMENT_COAGULATION_CROSSTALK	-0.012596573873159482	-0.011913044939347089	0.09348384259949347	0.28021737925380363	0.5666910476970144	-0.08992382964677376	-0.32039075749579043	0.2536792213473887	-0.06671153614840175	1.2138848239356397	-0.4873583777399255	-0.4555306999870017	-0.3220655969583369	0.3667988269137078	-0.0385061427396443	-0.1584186197031355	1.079559418900903
COMPLEMENT_LECTIN	-0.05851925642302985	-0.04462666597582718	-0.015443341641419833	0.15712194156279413	0.15060052101072455	-0.16276558790943504	-0.1821154810475312	0.07561439888234577	-0.10650108216518543	-0.4272133733758726	0.3022518246503143	-0.0713421278584395	0.5892011741991348	-0.0687352218142978	-0.101247873556204	-0.559102393695678	1.0957972708101489
COMPLEMENT_OPSONOPHAGOCYTOSIS	1.0485764979846046	0.5414109040698384	-0.4517882407208367	0.04345849834895672	-1.3165147283467598	-0.2784558628745366	0.6129536943214446	-0.758265087881559	-0.14531139356011435	0.6106585347065031	0.2878657120830686	0.2790208461456774	0.2985457207804661	0.4245595687724989	-0.2481381092563892	0.8797041911271781	0.6237123005145684
COMPLEMENT_REGULATORS	0.3120469524740826	0.09232494332562101	0.1553599038435563	-0.055153881005284816	0.6626566705402314	-0.008206689154358387	-0.3193529720148349	0.31503638985097376	-0.00431658216386116	0.258206035535592	-0.1151856694214474	-0.216215191060664	0.001188584768105	0.523732131138319	0.4902339741032377	0.7446344914912053	0.3362592898366689
COMPLEMENT_TERMINAL_MAC	-0.0922473959152638	-0.04201224542425159	0.018814071488224532	0.039192730513861046	-0.050398442181988974	0.11546317311426603	0.09202691281841913	-0.02719938492098503	0.0648275278974341	0.18928607807933387	0.7169945504312463	-0.0553864091235507	0.5744464349606124	-0.0039671268564699	0.0283417151003333	0.960613721304766	0.7778746537245376
EICOSANOID_PROSTAGLANDIN_METABOLISM	0.2189032176787247	0.05794595088024949	-0.052372302613601596	0.022360200972317813	-0.5508751122569003	0.07921716886704465	0.1470711164108433	-0.12590786081902325	0.021163255591820057	-0.010977721970775995	-0.2186378504107874	0.2060843430332685	-0.0032170257227447	0.3904999292022162	0.0704649243100196	-0.0155996195816466	0.7027911556992366
ESTROGEN_BIOSYNTHESIS	-0.7354618391696324	-0.28285958717119875	0.1223806768235155	0.8071967536298774	0.9208680608556717	-0.021007104450493332	-0.2653085384737047	0.25503494606036786	-0.010273592413336863	-0.18336110814723716	-0.4314114662750183	-0.2679451119744505	0.2147468730136336	0.2235907207186629	-0.3716556694064157	0.4930960806800092	0.1445432056417865
ESTROGEN_RECEPTOR_RESPONSE	-0.8651275556305188	-0.1560187281819674	0.47838321290423413	0.010756711314910891	0.7841647459945283	0.6209436080188326	-0.05160228128723854	0.5041843535478534	0.45258207226061486	0.6820350103952629	-1.0495272485911142	-0.4053843847647264	-0.9114340045584498	-0.0493894383806294	0.1650461221863599	0.2779446737294523	0.8583021267150158
FATTY_ACID_BETA_OXIDATION	0.44201051817499853	0.22568076369525122	0.4018925839798754	0.010421757927826125	0.9085123048821957	1.4862343066377675	-0.15603024584102923	0.47990770690039	0.32387746105936077	-0.2104954605741877	-0.3720436296384718	-0.2829279944810432	0.1811807727377382	0.3260981822439222	-0.3734393115817846	0.5782000396501533	0.3995889192882762
FATTY_ACID_SYNTHESIS	0.39396607752268814	0.1914504339034529	0.5714152946126717	0.16084474431169682	0.9569508502768143	0.6544749270709673	-0.40432816309284925	0.7735793761590963	0.3692512130662471	-0.5137480120935256	-0.5578197467343663	-0.501122242204225	-0.270952121788552	0.2246946199165754	-0.5753774682279177	0.4007421562587914	-0.075914932814035
