feature_id	axis	display_label	proposed_figure_family	n_effect_contexts	n_datasets	datasets	n_positive_contexts	n_negative_contexts	directional_coherence_fraction	dominant_direction	median_effect	median_absolute_effect	max_absolute_effect	n_large_effect_contexts	n_moderate_effect_contexts	n_datasets_large_effect	n_datasets_moderate_effect	n_FDR10_contexts	cross_dataset_priority_score	validation_class
COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	complement_architecture	C3 convertase and amplification	Figure_10	9	4	GSE112098;GSE186800;GSE252321;GSE280297	3	6	0.6666666666666666	negative	-0.03531720482920195	0.1859260840471238	1.1686840835533288	1	1	1	1	0	7.019259417380457	single_dataset_or_context_specific
CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	catecholamine_stress_adjacent	Catecholamine biosynthesis and degradation	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.0011385077404699945	0.1395762639662431	0.9055424845650673	1	1	1	1	0	6.917354041744021	single_dataset_or_context_specific
PHOSPHOLIPID_METABOLISM	lipid_metabolism	Phospholipid metabolism	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.35478204883499737	0.4547408370793942	0.6227697333148379	0	3	0	2	0	6.899185281523839	two_dataset_moderate_effect
COMPLEMENT_COAGULATION_CROSSTALK	complement_architecture	Complement-coagulation crosstalk	Figure_10	9	4	GSE112098;GSE186800;GSE252321;GSE280297	4	5	0.5555555555555556	negative	-0.011913044939347089	0.09348384259949347	1.2138848239356397	1	1	1	1	0	6.871261620377271	single_dataset_or_context_specific
COMPLEMENT_TERMINAL_MAC	complement_architecture	Terminal complement and membrane-attack complex	Figure_10	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.018814071488224532	0.04201224542425159	0.960613721304766	1	1	1	1	0	6.819790023202029	single_dataset_or_context_specific
GLYCOGENOLYSIS	carbohydrate_inflammatory_carbon	Glycogenolysis	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.27868856117070034	0.3112890492426151	0.6652006281047622	0	3	0	2	0	6.700177938131504	two_dataset_moderate_effect
FATTY_ACID_BETA_OXIDATION	lipid_metabolism	Fatty-acid beta-oxidation	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.3260981822439222	0.3734393115817846	0.5782000396501533	0	1	0	1	1	6.262328200470674	single_dataset_or_context_specific
LXR_FXR_STEROL_SIGNALING	steroid_cholesterol_endocrine	LXR and FXR sterol signaling	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.31439417703469885	0.31439417703469885	0.6028015184097174	0	2	0	2	0	5.758838621479144	two_dataset_moderate_effect
COMPLEMENT_CLASSICAL	complement_architecture	Classical complement pathway	Figure_10	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.04498582180336342	0.2653474573865672	0.7159321600271066	0	2	0	2	0	5.543125235164345	two_dataset_moderate_effect
ADIPONECTIN_SIGNALING	adipokine_signaling	Adiponectin signaling	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.167177944205993	0.3428337601025548	0.6145957449418142	0	3	0	1	0	5.2872782045469995	single_dataset_or_context_specific
SPHINGOLIPID_CERAMIDE_METABOLISM	lipid_metabolism	Sphingolipid and ceramide metabolism	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.31557384393414395	0.3783187089333651	0.7335494439637866	0	3	0	1	0	5.267207597822255	single_dataset_or_context_specific
COMPLEMENT_REGULATORS	complement_architecture	Complement regulators	Figure_10	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.3120469524740826	0.3120469524740826	0.7446344914912053	0	2	0	1	0	4.256491396918527	single_dataset_or_context_specific
SERINE_GLYCINE_ONE_CARBON	amino_acid_metabolism	Serine, glycine and one-carbon metabolism	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	4	5	0.5555555555555556	negative	-0.01975796428793928	0.29307465383699177	0.7924853344897027	0	2	0	1	0	4.07085243161477	single_dataset_or_context_specific
STEROIDOGENESIS_CORE	steroid_cholesterol_endocrine	Core steroidogenesis	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	3	6	0.6666666666666666	negative	-0.15246435187234397	0.23671971825577298	0.7059204911276613	0	2	0	1	0	4.070053051589106	single_dataset_or_context_specific
NAD_METABOLISM	nucleotide_nad_nitrogen	NAD metabolism	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	6	3	0.6666666666666666	positive	0.14438586613980647	0.2059638448427957	0.7360484078283704	0	2	0	1	0	4.039297178176129	single_dataset_or_context_specific
MINERALOCORTICOID_RESPONSE	steroid_cholesterol_endocrine	Mineralocorticoid response	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.40420353653888014	0.40420353653888014	0.6978469967525693	0	1	0	1	0	3.3486479809833245	single_dataset_or_context_specific
CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	steroid_cholesterol_endocrine	Cholesterol uptake, transport and export	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.2842637032332668	0.3135962544894414	0.7158495728136308	0	1	0	1	0	3.258040698933886	single_dataset_or_context_specific
GLUTAMINE_GLUTAMATE	amino_acid_metabolism	Glutamine and glutamate metabolism	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.3340644127305414	0.350348813405367	0.5695363223634324	0	1	0	1	0	3.239237702294256	single_dataset_or_context_specific
PROGESTERONE_BIOSYNTHESIS_RESPONSE	steroid_cholesterol_endocrine	Progesterone biosynthesis and response	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.2114562197285492	0.29430670773777184	0.5896735743720765	0	1	0	1	0	3.238751152182216	single_dataset_or_context_specific
UROTHELIAL_BARRIER_REPAIR_ANCHOR	immune_context_anchors	Urothelial barrier and repair anchor	Integrated_network	9	4	GSE112098;GSE186800;GSE252321;GSE280297	3	6	0.6666666666666666	negative	-0.18973925545480047	0.3001924105448774	0.6687162067870439	0	1	0	1	0	3.1335257438782107	single_dataset_or_context_specific
METHIONINE_SAM_METHYLATION	amino_acid_metabolism	Methionine and SAM metabolism	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.2038560933422443	0.24392168082631502	0.6231176897686507	0	1	0	1	0	3.132810569715204	single_dataset_or_context_specific
PURINE_DEGRADATION_URATE	nucleotide_nad_nitrogen	Purine degradation and urate	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.13870509401250478	0.22090961299543124	0.6667329786824677	0	1	0	1	0	3.10979850188432	single_dataset_or_context_specific
COMPLEMENT_LECTIN	complement_architecture	Lectin complement pathway	Figure_10	9	4	GSE112098;GSE186800;GSE252321;GSE280297	1	8	0.8888888888888888	negative	-0.0687352218142978	0.07561439888234577	0.559102393695678	0	1	0	1	0	3.0200588433267903	single_dataset_or_context_specific
ADRENERGIC_STRESS_SIGNALING	catecholamine_stress_adjacent	Adrenergic stress signaling	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.017907603911921782	0.23451615310337873	0.6012036553295511	0	1	0	1	0	3.0122939308811563	single_dataset_or_context_specific
MTOR_SIGNALING	carbohydrate_inflammatory_carbon	mTOR signaling	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.2116272088820607	0.4048917584702233	0.4883531993430784	0	0	0	0	0	0.7937806473591122	single_dataset_or_context_specific
EICOSANOID_PROSTAGLANDIN_METABOLISM	lipid_metabolism	Eicosanoid and prostaglandin metabolism	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.021163255591820057	0.05794595088024949	0.3904999292022162	0	0	0	0	0	0.3357237286580273	single_dataset_or_context_specific
