cluster	rank	gene_symbol	cluster_mean_log_expression	outside_mean_log_expression	specificity_difference	global_mean_log_expression
9	8	IL1R2	3.0910482	0.56728834	2.5237598	0.7394093
9	9	MMP9	2.7279806	0.34927994	2.3787007	0.5115074
9	10	PTGS2	3.2457607	0.8760476	2.369713	1.0376612
9	11	ACOD1	2.724672	0.37339664	2.3512754	0.53375286
9	12	HDC	2.7136962	0.39833817	2.3153582	0.5562448
9	13	CLEC4E	2.9531746	0.687409	2.2657657	0.84193397
9	14	MXD1	2.7548218	0.5125666	2.2422552	0.6654885
9	15	GRINA	2.718833	0.61682135	2.1020117	0.7601788
9	16	CLEC4D	2.4087965	0.40400445	2.0047922	0.5407315
9	17	CCR1	2.7638657	0.7753282	1.9885375	0.91094583
9	18	HP	2.2996874	0.35139155	1.9482958	0.48426533
9	19	G0S2	2.2160923	0.28146887	1.9346235	0.41340965
9	20	ETS2	2.4461968	0.5290285	1.9171684	0.6597797
9	21	SELL	2.413529	0.5558916	1.8576374	0.6825823
9	22	RETNLG	2.0239804	0.1996016	1.8243787	0.32402396
9	23	MSRB1	2.4052894	0.62172306	1.7835664	0.743362
9	24	TREM1	2.0726268	0.30579585	1.7668309	0.42629343
9	25	LMNB1	2.242664	0.5354654	1.7071986	0.6518958
10	1	KLRG1	1.9220316	0.09748331	1.8245484	0.23925073
10	2	CTLA2A	1.9600936	0.22261633	1.7374773	0.35761833
10	3	GATA3	1.7218374	0.12339091	1.5984465	0.2475902
10	4	RNF128	1.603988	0.08414741	1.5198406	0.20223898
10	5	INPP4B	1.6247425	0.12795	1.4967926	0.24425064
10	6	IL2RA	1.5768586	0.10305019	1.4738084	0.21756504
10	7	TCRG-C1	1.3709487	0.12171141	1.2492373	0.21877721
10	8	GIMAP3	1.4442245	0.23410402	1.2101204	0.32813084
10	9	IL7R	1.3290281	0.15488109	1.174147	0.24611224
10	10	TNFRSF18	1.2911242	0.13515113	1.1559731	0.22497007
10	11	IL1RL1	1.2062025	0.10282215	1.1033803	0.1885548
10	12	RORA	1.1597488	0.11889538	1.0408534	0.1997697
10	13	ARG1	1.451561	0.47427714	0.97728384	0.55021274
10	14	H2-Q7	1.3569813	0.40568906	0.9512922	0.47960407
10	15	ETS1	1.1553028	0.2446373	0.91066545	0.315396
10	16	TMEM176B	1.5782082	0.6778405	0.90036774	0.7477986
10	17	TRBC2	1.1781406	0.27996778	0.89817286	0.3497559
10	18	HES1	1.0159074	0.1250976	0.8908098	0.19431353
10	19	CXCR6	1.0290562	0.14358832	0.8854679	0.21238916
10	20	PTPN13	0.91290843	0.03095454	0.8819539	0.09948237
10	21	LTB	1.159748	0.27930382	0.88044417	0.34771448
10	22	TMEM176A	1.3830608	0.518943	0.8641178	0.5860838
10	23	TCRG-C4	0.89415866	0.0565463	0.8376124	0.12162877
10	24	LY6A	1.3701159	0.5626351	0.80748075	0.62537605
10	25	TMEM64	0.8968367	0.13825735	0.7585794	0.1971992
11	1	MKI67	2.6324124	0.1641062	2.4683063	0.24728814
11	2	TOP2A	2.509602	0.1543588	2.3552432	0.23373038
11	3	HIST1H1B	1.7936906	0.09700465	1.6966859	0.15418309
11	4	PCLAF	1.7151808	0.08560172	1.6295791	0.1405185
11	5	STMN1	1.7286668	0.10843274	1.620234	0.16303459
11	6	UBE2C	1.5584024	0.060712557	1.4976898	0.11118472
11	7	NUSAP1	1.5217421	0.03889496	1.4828471	0.08886687
11	8	BIRC5	1.4388987	0.045035765	1.393863	0.09200895
11	9	HIST1H4D	1.5187398	0.17896421	1.3397756	0.22411469
11	10	HIST1H2AE	1.3344054	0.05201866	1.2823868	0.09523506
11	11	PRC1	1.2806398	0.038539488	1.2421002	0.080398284
11	12	KIF11	1.2691234	0.03486552	1.2342579	0.07646003
11	13	SMC2	1.3490256	0.1165731	1.2324525	0.15810683
11	14	H2AFX	1.3278743	0.12023218	1.2076421	0.16092983
11	15	HIST1H1E	1.3677423	0.19065383	1.1770885	0.2303219
11	16	TPX2	1.1780845	0.048192177	1.1298923	0.086269505
11	17	CCNA2	1.1489061	0.031047491	1.1178586	0.06871933
11	18	CENPF	1.0831321	0.037760854	1.0453713	0.07298983
11	19	CDCA8	1.080815	0.045370728	1.0354443	0.08026515
11	20	CENPE	1.0508738	0.041347448	1.0095263	0.07536843
11	21	CCNB2	1.0314553	0.04335878	0.9880965	0.076657675
11	22	KIF23	1.1099339	0.13104296	0.9788909	0.16403157
11	23	KNL1	0.9921742	0.029643962	0.96253026	0.062081244
11	24	CENPA	1.0784584	0.119224556	0.9592339	0.15155078
11	25	HMMR	0.94797057	0.02232656	0.925644	0.053520758
12	1	APOE	3.87837	1.3152803	2.5630898	1.5539024
12	2	C1QB	2.7352571	0.6019588	2.1332984	0.8005683
12	3	C1QC	2.1245527	0.4041376	1.7204151	0.564308
12	4	C1QA	1.8970982	0.349062	1.5480362	0.49318436
12	5	LGMN	2.0752165	0.7418027	1.3334138	0.865943
12	6	MAFB	1.5338334	0.45127118	1.0825622	0.5520577
12	7	SELENOP	1.8571169	0.7773678	1.0797491	0.87789136
12	8	MAF	1.5232285	0.6425778	0.8806507	0.72456807
12	9	FCGR1	1.2175425	0.4715378	0.7460047	0.54099065
12	10	MS4A6D	1.1991851	0.46561563	0.7335695	0.5339106
12	11	C3AR1	1.0261185	0.30063242	0.7254861	0.3681753
12	12	CCL2	1.4737631	0.83969706	0.63406605	0.898728
12	13	MRC1	1.0015683	0.42767754	0.5738908	0.48110634
12	14	PLA2G7	1.0656514	0.51561236	0.55003905	0.5668208
12	15	MS4A7	0.6791114	0.13301532	0.5460961	0.18385676
12	16	MSR1	0.92186433	0.37692142	0.5449429	0.4276554
12	17	CX3CR1	0.6680889	0.13926747	0.52882147	0.18850087
12	18	CCL12	0.750947	0.22627142	0.5246756	0.27511913
12	19	FCGR4	0.85094434	0.33236122	0.5185831	0.3806405
12	20	ADGRE1	0.78571373	0.26739302	0.5183207	0.31564912
12	21	CTSL	1.0138545	0.53178996	0.48206455	0.5766706
12	22	IFI204	1.2762424	0.83009064	0.44615173	0.8716261
12	23	TMEM176B	1.1412085	0.7074133	0.4337952	0.7477986
12	24	CXCL16	0.6044835	0.17518774	0.42929575	0.21515493
12	25	RNASE4	0.6417431	0.2135433	0.42819983	0.25340855
13	1	CD209A	2.5890517	0.38044986	2.208602	0.6154448
13	2	CLEC10A	1.2905387	0.24714938	1.0433893	0.35816616
13	3	CCND1	1.430595	0.49800152	0.9325935	0.59722817
