gene_symbol	mean_log_expression	variance_log_expression	dispersion_score	hvg_rank
DNAJB13	0.01071986	0.017316729	1.6152369	546
PIM2	0.045538057	0.073544316	1.6149724	547
GFI1	0.036522802	0.058971643	1.6146086	548
PDCD1	0.024096314	0.038894735	1.6140693	549
LY6A	0.62537605	1.0092831	1.6138792	550
GM37347	0.011202838	0.01807745	1.613505	551
GM14029	0.013420329	0.02165443	1.6134341	552
TNFSF9	0.34995872	0.56461835	1.6133809	553
GM26244	0.010193769	0.016436357	1.6122344	554
ATP6V1G2	0.011532404	0.018594274	1.6122104	555
GM22068	0.014284729	0.023029214	1.6120433	556
SLA2	0.04275643	0.06892621	1.6120288	557
SLAMF1	0.010253413	0.016528085	1.6118022	558
IKZF3	0.09374277	0.15106736	1.6114923	559
KCNQ5	0.011400723	0.018372865	1.6114113	560
GBP5	0.12270251	0.19767915	1.6110309	561
KLRA17	0.11322621	0.18241219	1.6110278	562
VEGFA	0.21737783	0.3501156	1.6106242	563
PDCD1LG2	0.02393777	0.038552042	1.6104437	564
TNIK	0.05338458	0.08593689	1.6097398	565
MT2	0.060691617	0.09768798	1.609553	566
GM44187	0.015064148	0.02424166	1.6091219	567
SNORD104	0.10967658	0.176463	1.608925	568
MIRT1	0.06307883	0.10148561	1.6088442	569
BMP7	0.032284513	0.051937863	1.6087049	570
CERS4	0.042484805	0.068330735	1.6083193	571
RUFY4	0.025900647	0.041652594	1.608106	572
CRYBA4	0.011345193	0.018245365	1.6080606	573
GSTP3	0.038612228	0.062083647	1.6078337	574
GM8369	0.030932607	0.04972167	1.6073673	575
RETN	0.01273136	0.020450551	1.606187	576
GIMAP1OS	0.033569477	0.053910967	1.6059042	577
BMP2	0.038740687	0.062214468	1.6058792	578
NLRP1C-PS	0.023767209	0.038145676	1.6049032	579
LTB	0.34771448	0.5580438	1.6048862	580
NLRP12	0.02089446	0.033520706	1.6042099	581
KLRD1	0.41945624	0.6728756	1.6041577	582
TRIB2	0.022135241	0.03550535	1.6039467	583
SELL	0.6825823	1.0943791	1.6032901	584
GRAMD1C	0.010740489	0.017221488	1.6032683	585
GM39321	0.049325466	0.07908188	1.6032343	586
SLC6A13	0.04665687	0.07479412	1.6030334	587
HILPDA	0.1629889	0.26126677	1.602963	588
GM45266	0.04789455	0.07676843	1.6028302	589
GM42462	0.014059096	0.022535518	1.6027998	590
EHD3	0.017367618	0.027834963	1.6026009	591
ABCB9	0.02770444	0.044398062	1.6025034	592
ZAP70	0.09565661	0.15328528	1.6024369	593
HIST1H2AC	0.030541612	0.048916355	1.6015773	594
SYNE1	0.14868176	0.23810351	1.6014198	595
SYTL2	0.055052187	0.08814184	1.6010307	596
PI16	0.14780207	0.2366302	1.600983	597
PAPSS2	0.029757192	0.0476384	1.60085	598
CCNO	0.013010418	0.020822395	1.600317	599
SLC2A3	0.3236879	0.5179323	1.6000928	600
CMPK2	0.24091557	0.38546404	1.5999898	601
STAB1	0.3024374	0.48384905	1.5998267	602
GM23472	0.2807576	0.4491101	1.5996306	603
2810001G20RIK	0.025415353	0.040655088	1.5995641	604
CAMK2N1	0.040154595	0.064213954	1.5991285	605
GM42551	0.012652356	0.02022998	1.5987837	606
RRM2	0.07365918	0.11770076	1.5978886	607
KIF11	0.07646003	0.122119315	1.5971445	608
4930532G15RIK	0.027196193	0.04343432	1.5970147	609
SCNN1A	0.02085627	0.033308204	1.5969589	610
PLOD2	0.025782019	0.041168444	1.596727	611
TNFSF11	0.035525046	0.056709375	1.596276	612
CXCR3	0.089481615	0.14281988	1.5960629	613
ACSBG1	0.03203098	0.051110268	1.5956013	614
GM20627	0.020014448	0.03192899	1.5952173	615
GM17455	0.011989272	0.019125719	1.5951029	616
HBEGF	0.047095105	0.07509742	1.5945569	617
EMP1	0.3538007	0.56394494	1.5939575	618
SERPINB10	0.05130269	0.08177149	1.5938716	619
2610035D17RIK	0.015890813	0.025322394	1.593424	620
GSTM1	0.28470355	0.45350975	1.5929135	621
APOC1	0.0127219865	0.020263601	1.5926764	622
CD300C	0.019099843	0.030419016	1.5925484	623
PLTP	0.25918263	0.4127156	1.5923675	624
CLNK	0.031292565	0.049809374	1.5916811	625
SIDT1	0.023503562	0.037405178	1.5914007	626
CCR8	0.013634803	0.021698808	1.5913113	627
C2	0.014595003	0.023226192	1.5912707	628
SNORD13	0.30098814	0.4789359	1.5912066	629
GM6545	0.11954905	0.19017333	1.5907423	630
MATN2	0.013149889	0.020913374	1.590263	631
ABCB1A	0.026495652	0.04213163	1.5900736	632
GM47230	0.03377807	0.053706847	1.5899445	633
RNF125	0.040597264	0.06453854	1.5896872	634
CD274	0.18325226	0.2913074	1.5896437	635
ADGB	0.013030122	0.020712694	1.589479	636
SLCO4C1	0.01870929	0.029738823	1.5894367	637
AC160637.1	0.020639531	0.032803964	1.5892984	638
GM45221	0.07246648	0.11514491	1.5889184	639
ITGA2	0.025465423	0.040461026	1.5887989	640
ZFP831	0.023656921	0.037574593	1.5882457	641
RGCC	0.22752945	0.36131582	1.5879889	642
GM47508	0.012614989	0.02003091	1.58774	643
CCNB2	0.076657675	0.12170864	1.5876695	644
NMB	0.0219882	0.034911327	1.5876579	645
CD81	0.2095361	0.332581	1.5872178	646
SPRY2	0.08961276	0.1422354	1.5872049	647
TPBGL	0.010671309	0.016929945	1.5863432	648
APOE	1.5539024	2.46502	1.5863405	649
CXCL14	0.013678299	0.021699073	1.5862708	650
IL1R1	0.020953588	0.03320915	1.5848151	651
FLT1	0.020812904	0.032983027	1.5846632	652
TESPA1	0.1119518	0.17738597	1.5844711	653
GM8696	0.014476011	0.022936748	1.5843567	654
DKKL1	0.015090981	0.023899013	1.5835571	655
GM43775	0.02557511	0.04049794	1.5834284	656
ANXA11OS	0.010379298	0.01643562	1.5833476	657
GSDME	0.031574085	0.04995908	1.582231	658
ASB2	0.09859701	0.15599196	1.5821004	659
AW011738	0.03134961	0.04957608	1.5813435	660
GM25939	0.031186745	0.04931441	1.5812111	661
ITIH5	0.024105065	0.038113322	1.5810678	662
SCML4	0.02593552	0.040994667	1.580577	663
SGMS2	0.12195976	0.19273743	1.5803233	664
FAS	0.13881242	0.2193665	1.5802975	665
GM19951	0.043572064	0.068846524	1.5800248	666
BICDL1	0.011955862	0.018889114	1.5797719	667
C3	0.20628858	0.3258874	1.5797571	668
ARC	0.01792758	0.028318932	1.5795413	669
4833403J16RIK	0.01895362	0.029935572	1.5793285	670
KLK8	0.061674025	0.09739305	1.5791328	671
IGFBP6	0.14130478	0.22306965	1.5786308	672
PRKCQ	0.08886176	0.14027545	1.5785627	673
ID3	0.09643181	0.15217753	1.578068	674
TGTP1	0.03367613	0.053138822	1.5778906	675
GBP4	0.16087316	0.2538274	1.5778009	676
OLFML3	0.023968564	0.037809703	1.5774047	677
IL9R	0.028409177	0.044811733	1.5773127	678
GM42820	0.0145441415	0.02294202	1.5772978	679
GBP6	0.023017813	0.036307313	1.5772886	680
RNU12	0.035607968	0.0561578	1.5770692	681
GM9733	0.18354613	0.28936452	1.5765135	682
TRAF3IP2	0.04265379	0.06724573	1.5765107	683
MAP6	0.015486866	0.024414022	1.5763321	684
NBL1	0.010572824	0.016664881	1.5760505	685
FCRLA	0.01737773	0.027385037	1.575779	686
ZNRD1AS	0.016395843	0.025829174	1.5752529	687
KLF5	0.028566008	0.044996876	1.5751344	688
RGS1	0.9118183	1.4361044	1.5749879	689
A730011C13RIK	0.010230046	0.016111597	1.5747752	690
AKAP12	0.017674007	0.027832394	1.5746752	691
IFI205	0.53545177	0.84308004	1.574518	692
HMMR	0.053520758	0.08426203	1.574351	693
PLEKHF1	0.01023808	0.016118152	1.5741796	694
RAB44	0.04668232	0.073478565	1.573979	695
E230032D23RIK	0.018778205	0.029555717	1.5738535	696
ADGRE4	0.08683607	0.13662492	1.5733479	697
GM25099	0.04467437	0.07028867	1.5733205	698
GM44667	0.017088722	0.026879178	1.5728271	699
CREM	0.14633684	0.2300726	1.5722017	700
GM43430	0.011690007	0.018379504	1.5721061	701
HIST1H2AB	0.04134641	0.06500146	1.5720806	702
CCRL2	0.91043234	1.4306717	1.5714184	703
OSM	0.38920513	0.611487	1.5711133	704
CISH	0.19788751	0.31068933	1.5700221	705
EPCAM	0.025506768	0.040039968	1.5697166	706
E230013L22RIK	0.011817058	0.018550517	1.5696756	707
GM24407	0.1282922	0.20129341	1.5690107	708
CCNA2	0.06871933	0.107822895	1.5690103	709
P2RX1	0.013490489	0.021161936	1.5685397	710
TEX14	0.012531778	0.019657863	1.568516	711
TREM3	0.100160524	0.15705577	1.568025	712
GM4258	0.016226027	0.02543588	1.5675008	713
MAFB	0.5520577	0.86519563	1.5672168	714
CARNS1	0.017341143	0.027174607	1.5669694	715
GM37691	0.03282521	0.0514371	1.5669522	716
PEAR1	0.035990838	0.056395493	1.5668968	717
S1PR1	0.05269412	0.082563706	1.5668188	718
IL17RE	0.012358119	0.019357812	1.5662776	719
HNMT	0.03406246	0.053345613	1.5660657	720
CHST1	0.010314103	0.0161529	1.5659465	721
MS4A14	0.02948044	0.046162054	1.5658004	722
ENAH	0.043540366	0.06814342	1.5650272	723
CD69	0.5204669	0.8144275	1.5647986	724
IL12RB2	0.029460946	0.046093974	1.5645257	725
LBP	0.012438069	0.019461079	1.5645124	726
LILRA5	0.011916269	0.01864218	1.5642997	727
SNAI1	0.040435698	0.06323928	1.5639081	728
RAB37	0.053701382	0.08398171	1.5638359	729
PRKCA	0.027134536	0.04242702	1.5635223	730
CORO2B	0.021820595	0.03410467	1.5628862	731
FLRT3	0.02316932	0.03620743	1.5626642	732
COBLL1	0.04488431	0.07009735	1.5616993	733
CST7	0.09582634	0.14961703	1.5613189	734
SPATA1	0.015287559	0.023861365	1.5607334	735
TNF	0.9160754	1.4293793	1.5603276	736
COLEC12	0.018515022	0.028887935	1.5601587	737
RFLNB	0.04921801	0.07678129	1.5599926	738
PIP5K1B	0.026077144	0.04067983	1.5599204	739
MR1	0.024863655	0.038782015	1.5597247	740
TUBA8	0.03444169	0.053720284	1.5597006	741
GM37760	0.017888319	0.027901618	1.5596802	742
CTSL	0.5766706	0.89931107	1.5594857	743
TLR3	0.09852269	0.15359701	1.5589856	744
TNFRSF25	0.03379808	0.05267057	1.5583433	745
ALDH3A1	0.014161107	0.022069199	1.5583273	746
B230217O12RIK	0.010474355	0.016323969	1.5583212	747
NFE2	0.07502016	0.11690675	1.5583171	748
ADGRG3	0.025502197	0.039737254	1.5581284	749
PPP1R3B	0.12972526	0.20212276	1.5580713	750
TGM2	0.30676162	0.4778782	1.557811	751
PLK2	0.3673741	0.57224536	1.5576596	752
HIST4H4	0.021029158	0.032754757	1.5575136	753
ETS2	0.6597797	1.0273514	1.5571103	754
CYP7B1	0.017997485	0.02802474	1.5570611	755
SDC4	0.25046048	0.38995743	1.5569557	756
SLCO4A1	0.020731842	0.032278124	1.5568596	757
LOXL2	0.010155998	0.015811559	1.5567157	758
GM11714	0.010783278	0.016786538	1.556575	759
NLRC3	0.06674604	0.103884265	1.5563875	760
GM44164	0.015269372	0.023763288	1.5561695	761
FAAH	0.046631377	0.07255566	1.5559075	762
GM42819	0.014644362	0.022786658	1.5558958	763
GM45223	0.0713917	0.11107894	1.5558865	764
RASL11A	0.013221141	0.020570097	1.5557312	765
TBC1D4	0.0737779	0.11477382	1.5556456	766
TAL1	0.010644756	0.016559482	1.5555007	767
ARHGAP27OS3	0.012229624	0.01902281	1.5553424	768
BCAM	0.012395645	0.019276831	1.5550039	769
GM37558	0.03221465	0.0500907	1.5548562	770
TNFRSF26	0.01916288	0.029794985	1.554747	771
TNFRSF10B	0.011955383	0.018587649	1.5546213	772
AC163018.2	0.010670236	0.016588109	1.5544692	773
MMP25	0.041947875	0.06520425	1.5543742	774
TMEM64	0.1971992	0.30646294	1.5540702	775
GM45343	0.010926572	0.016980328	1.5538976	776
5830428M24RIK	0.043844327	0.06813096	1.5538934	777
GM45220	0.03549626	0.05515866	1.553885	778
LAX1	0.047433443	0.07370712	1.5538734	779
DUSP2	0.46753964	0.7264973	1.5538698	780
PTGIR	0.08955603	0.13911569	1.5533755	781
EML5	0.014871235	0.02310013	1.5532386	782
RASL11B	0.012518337	0.019441161	1.5528907	783
EGR3	0.05191997	0.080620185	1.5527481	784
NXPE4	0.044116486	0.06849949	1.5526608	785
NBEA	0.014382618	0.022331253	1.5525477	786
GM26759	0.05168621	0.080232695	1.5522738	787
AC123724.3	0.023389312	0.03630816	1.5522734	788
CHDH	0.02094535	0.0325097	1.5520461	789
DGAT1	0.121777505	0.18899395	1.5519483	790
SLAIN1	0.047809884	0.07419774	1.5519006	791
LAMC1	0.036067136	0.05596995	1.5517839	792
FAM213A	0.050390657	0.07816694	1.5511881	793
CYSLTR2	0.025054542	0.03886112	1.5509989	794
HIST2H4	0.03223201	0.049989887	1.5508912	795
DNAH8	0.016183201	0.025092773	1.5504487	796
ACOT1	0.018969413	0.029407725	1.5501889	797
GM9725	0.0148457065	0.02301409	1.550114	798
DHRS9	0.066867664	0.10365328	1.5501025	799
ANKRD22	0.017998692	0.027893895	1.5496874	800
IL27RA	0.07322252	0.11344467	1.5492928	801
GNG11	0.012058777	0.01868318	1.5492144	802
CD22	0.016232455	0.02514799	1.5491458	803
GM43362	0.039944507	0.061876796	1.5490302	804
PGLYRP2	0.029369576	0.04549417	1.5489709	805
9430034N14RIK	0.023161655	0.035876818	1.5489078	806
CLEC4B1	0.20445332	0.31667864	1.5488968	807
GRCC10	0.039414752	0.06101754	1.5480497	808
CLEC9A	0.071075074	0.11002471	1.5479853	809
FOLR2	0.08069368	0.124892436	1.5477159	810
BSPRY	0.01608654	0.0248989	1.5477134	811
GCSAM	0.051278394	0.079363964	1.5476775	812
PLCB1	0.063657306	0.09851687	1.5475886	813
DST	0.05157078	0.07978963	1.5471568	814
TRIM30B	0.29249096	0.45252025	1.5471202	815
NEU3	0.010140603	0.015689373	1.5470308	816
MSR1	0.4276554	0.6615908	1.5470148	817
MGST2	0.022102797	0.0341948	1.5470102	818
P2RY13	0.08026386	0.12415633	1.546833	819
BBS9	0.058086988	0.0898376	1.546578	820
SHE	0.014064682	0.021749098	1.5462526	821
AC163354.1	0.046913125	0.07252854	1.5459852	822
SATB1	0.12624277	0.19515899	1.5458901	823
SLAMF6	0.055656355	0.08602895	1.5456889	824
ST6GALNAC3	0.015585359	0.024085633	1.545302	825
4932422M17RIK	0.017334333	0.026787573	1.5452586	826
MCTP2	0.040615276	0.06276009	1.5451957	827
OVGP1	0.011310496	0.017477332	1.5450945	828
ACPP	0.021771211	0.03363757	1.5449771	829
SIGLEC5	0.028187916	0.04354182	1.5446433	830
CD209B	0.01575917	0.024341416	1.5444894	831
TACSTD2	0.05494406	0.084829286	1.5438929	832
GM42670	0.026915692	0.041555118	1.543842	833
CD209E	0.012211053	0.018851489	1.5436789	834
ZFP599	0.010759387	0.016609205	1.5435508	835
LPPOS	0.02368433	0.03655633	1.5434165	836
ZSCAN2	0.010432061	0.016098555	1.5430328	837
GRIA3	0.016672974	0.025728209	1.543016	838
CHST2	0.017112302	0.026403233	1.5428486	839
TPM2	0.017567456	0.027104532	1.5427953	840
CD300LF	0.44745672	0.6903086	1.5427347	841
SH3BGRL2	0.034355152	0.05299873	1.5426271	842
GM23722	0.027097944	0.0417937	1.542263	843
CCL3	1.172086	1.8074836	1.5421071	844
TSPAN32	0.11229912	0.17317848	1.5421041	845
GM37474	0.0102329645	0.015779922	1.5419167	846
HIST1H4D	0.22411469	0.3455636	1.5418983	847
CD177	0.036527455	0.056322537	1.5418812	848
GM17745	0.011274282	0.01738418	1.5417956	849
C3AR1	0.3681753	0.56749094	1.5413564	850
AXIN2	0.021169182	0.032626476	1.5411524	851
TNIP3	0.1911325	0.29439726	1.5402703	852
H2-DMB2	0.2534297	0.39034832	1.5402565	853
GM20186	0.048279565	0.07435202	1.539999	854
TMEM62	0.02464356	0.037944876	1.5396856	855
PITPNM2	0.019741563	0.030396169	1.5396262	856
MGLL	0.01597281	0.024579953	1.5387658	857
KLRK1	0.33729172	0.5189254	1.5385016	858
EGLN3	0.03326395	0.051160164	1.53796	859
NAV2	0.018763198	0.028857753	1.5379156	860
GM8000	0.018234601	0.028038528	1.5375707	861
MARCKSL1	0.60691446	0.9330833	1.5374188	862
FMO5	0.047572646	0.07313917	1.5373883	863
ZBTB16	0.021133156	0.03249066	1.537353	864
SPATA13	0.21384153	0.32868898	1.5370609	865
IL12RB1	0.03719222	0.057166215	1.5370064	866
GPRIN3	0.013372669	0.020551072	1.5366817	867
AI480526	0.017904447	0.027513143	1.5365795	868
ARMC3	0.021714011	0.033362463	1.5363779	869
GM25360	0.02667348	0.040980075	1.5363026	870
TPPP3	0.20832928	0.320038	1.5362049	871
ACKR3	0.015932167	0.024467174	1.5356127	872
RN7SK	0.059442323	0.091270395	1.5354189	873
SLC12A2	0.020296892	0.031160085	1.535139	874
CD200R4	0.030340897	0.046567135	1.534747	875
SYTL1	0.020318056	0.03117623	1.5343345	876
NEDD4	0.18517375	0.2840679	1.5340531	877
GM15964	0.0111434115	0.017089905	1.5334955	878
TSHZ3	0.014758381	0.022633377	1.5334909	879
XLR4B	0.09932219	0.15230317	1.53341	880
SPRY1	0.033055875	0.05068142	1.5331583	881
DGAT2	0.06590689	0.10103606	1.5329888	882
SLC17A9	0.03344572	0.05127164	1.5329349	883
TASP1	0.05819672	0.089204855	1.5327896	884
IGF1R	0.09967763	0.15277411	1.5326667	885
OPTN	0.031012366	0.047530834	1.5325919	886
RRAD	0.078169465	0.11977219	1.5321923	887
PECAM1	0.06764504	0.103606746	1.531601	888
RCN1	0.06165695	0.094421215	1.5313714	889
BCL2	0.19887994	0.30451828	1.5311587	890
OLFR56	0.043196104	0.066141024	1.5311449	891
FHAD1	0.0102283815	0.015662039	1.5310836	892
CHRM3	0.017018648	0.026052136	1.5307094	893
F5	0.053845905	0.08240556	1.5303676	894
ALOX5	0.17991963	0.27531385	1.5301962	895
A930029G22RIK	0.0135928895	0.020801244	1.5301907	896
CP	0.016554043	0.025312208	1.5289726	897
BAMBI	0.06523859	0.09974727	1.5289378	898
SCD1	0.014536244	0.02222355	1.5287321	899
TIMP1	0.07713728	0.11791236	1.5285844	900
SLCO2B1	0.041083243	0.0627998	1.5285617	901
GBP8	0.07960875	0.12168673	1.5285405	902
TMEM158	0.02268312	0.034673057	1.5285168	903
TPX2	0.086269505	0.13178873	1.5276221	904
ARAP3	0.108233705	0.16526051	1.5268717	905
PMEPA1	0.07042259	0.107518524	1.5267402	906
ECM1	0.29681402	0.45315686	1.5267315	907
OASL1	0.39044076	0.5960074	1.526495	908
BE692007	0.019579671	0.029887598	1.5263827	909
LDHB	0.044178292	0.06743308	1.5263505	910
RIPOR2	0.15208147	0.23212394	1.526303	911
GM42659	0.016027668	0.024461297	1.5260966	912
GM25703	0.012443891	0.018992022	1.5260898	913
DDX60	0.24455714	0.37317714	1.525924	914
AL590144.2	0.032690648	0.04988348	1.5258785	915
CD101	0.070541196	0.10763508	1.5258255	916
HVCN1	0.04953769	0.075549796	1.5250666	917
TGFBR3	0.010583234	0.01613915	1.5248293	918
S1PR4	0.058662266	0.08945053	1.5248134	919
CD79B	0.042683057	0.06506897	1.5244327	920
CD5L	0.011553517	0.017612955	1.524335	921
PRKCG	0.010278383	0.015666105	1.5240315	922
RAB4A	0.034294166	0.052259848	1.5238255	923
MTERF1A	0.015195847	0.023153974	1.5236038	924
CLEC5A	0.15287113	0.23284456	1.5231328	925
IL1RAP	0.10526348	0.16032065	1.5230272	926
PRTN3	0.03016904	0.04593993	1.5227003	927
GM37560	0.013662827	0.020803858	1.5225497	928
GM44686	0.010623259	0.016173199	1.5222896	929
AQP9	0.054623812	0.08314095	1.5220363	930
5430425K12RIK	0.01629581	0.024802536	1.5219258	931
SPIB	0.02033367	0.030945122	1.5217912	932
FAM102A	0.16112642	0.24519238	1.5217297	933
F10	0.094746836	0.14416705	1.5215868	934
KLRB1B	0.17079785	0.2598053	1.5211185	935
PPP1R16B	0.07490556	0.11393006	1.5209625	936
BCL2L14	0.012386271	0.018836273	1.5206152	937
GM43011	0.010412365	0.015834609	1.5206044	938
NR4A2	0.19974332	0.30372366	1.5205623	939
RNU5G	0.014984405	0.022786181	1.5205582	940
DKK3	0.0139711555	0.021241492	1.5202731	941
GM12374	0.185329	0.28166902	1.5198241	942
GM6654	0.010891393	0.016552063	1.5195984	943
TREML4	0.041148543	0.06252234	1.5193933	944
FAM189B	0.06451538	0.09800174	1.519021	945
IFITM5	0.018022992	0.02737142	1.5186102	946
GM37472	0.063036084	0.095725715	1.518562	947
PPP3CC	0.055087954	0.083651856	1.518487	948
PTGS2OS2	0.03490567	0.052991208	1.5180827	949
F630028O10RIK	0.10960336	0.16638768	1.5180753	950
PPP1R3D	0.05477143	0.08313191	1.5177692	951
GM42731	0.010926362	0.016584376	1.5176924	952
LETM2	0.050690588	0.076929435	1.5175977	953
PCED1B	0.034199446	0.05190126	1.517561	954
CD14	0.9025199	1.3695455	1.5174668	955
IFI214	0.03784903	0.057421125	1.5170695	956
SLC25A33	0.036522746	0.055405848	1.5169816	957
ZCCHC10	0.13987105	0.21213426	1.5166309	958
GM15832	0.065149955	0.09880067	1.5164884	959
FOXQ1	0.017347904	0.026308991	1.5164641	960
IRF8	0.5251153	0.7960167	1.5158864	961
PLK3	0.29726937	0.45061517	1.5158428	962
FAM26F	0.060882673	0.09228613	1.5157781	963
ZFP758	0.09887069	0.14985634	1.5156649	964
POLM	0.030456701	0.046156943	1.515444	965
ZFP85	0.01061549	0.01608753	1.5153341	966
NR1D1	0.045077745	0.06829467	1.5150082	967
GM37084	0.027664283	0.041907214	1.5147943	968
CTSE	0.045622833	0.06910244	1.5146128	969
ST3GAL6	0.17384493	0.26326194	1.5143405	970
GSR	0.4857443	0.73548865	1.5141447	971
CD83	0.3270397	0.49486133	1.513149	972
SLC22A15	0.047841664	0.072387494	1.5130323	973
TNFSF10	0.049547292	0.074958414	1.5128355	974
ICAM2	0.069468014	0.10509224	1.5127931	975
C730034F03RIK	0.019507697	0.029511034	1.5127118	976
ANKRD66	0.014049603	0.02124961	1.512363	977
PARD3	0.015918143	0.024067808	1.5118784	978
ZMAT1	0.021653922	0.03273349	1.5115957	979
LAMB3	0.016293557	0.024624892	1.5112342	980
GM43814	0.043965835	0.06641696	1.510615	981
BANK1	0.035962313	0.05432644	1.5106072	982
1810041H14RIK	0.016613374	0.02509746	1.5105871	983
BC005561	0.04929259	0.074454114	1.5104219	984
SLC2A4RG-PS	0.013025552	0.019670255	1.5100124	985
RNU1A1	0.011791254	0.017804448	1.5098425	986
PPM1J	0.019659124	0.0296827	1.5097921	987
LY75	0.04330769	0.065380126	1.5096307	988
GM6297	0.01135424	0.017141553	1.509572	989
ZRSR1	0.033759356	0.05094275	1.5089519	990
RND1	0.03804717	0.05741255	1.5089439	991
4833407H14RIK	0.0620085	0.09356823	1.5089338	992
GM48065	0.012140513	0.018319909	1.5088652	993
SEPT3	0.09131201	0.13776614	1.5087241	994
GM38843	0.02402068	0.03623931	1.5086086	995
EME2	0.011543193	0.017415555	1.5085987	996
STAT4	0.17918707	0.27031046	1.5085293	997
LARGE1	0.013637077	0.02057047	1.5083116	998
PLSCR4	0.01762075	0.026578728	1.5082911	999
ARV1	0.011097368	0.016738713	1.5082139	1000
CAMK2B	0.030132417	0.045446835	1.5081873	1001
VSIG10L	0.010130536	0.015278119	1.5079765	1002
ITGA1	0.050573267	0.07626347	1.5079502	1003
KLHL12	0.022360373	0.033715937	1.5077758	1004
CD226	0.1201483	0.18115355	1.507737	1005
HPGD	0.1036585	0.1562464	1.5073042	1006
1110025M09RIK	0.0106227165	0.016011793	1.5071744	1007
WNT11	0.052574452	0.07923792	1.5071278	1008
A930006K02RIK	0.029839374	0.044969786	1.5070114	1009
IL2	0.019742845	0.029743385	1.5064636	1010
INPP1	0.09579659	0.14430965	1.5064017	1011
GM45153	0.012320788	0.018561207	1.5063728	1012
RNF144A	0.047594193	0.07169465	1.5063423	1013
MAML2	0.026290063	0.039597433	1.5061176	1014
GM28809	0.02064214	0.0310908	1.506108	1015
MCEMP1	0.31956086	0.48128474	1.5060768	1016
LLGL2	0.022776768	0.034302104	1.5059468	1017
CREBL2	0.024223706	0.036478266	1.5058291	1018
GPR34	0.09731802	0.14654174	1.5057873	1019
TTLL3	0.022035008	0.033180486	1.5057395	1020
GM43412	0.010572992	0.015918877	1.5054746	1021
IPCEF1	0.11460286	0.17252941	1.5054417	1022
TECPR1	0.1177165	0.17721073	1.5053899	1023
LIPG	0.013357976	0.020110108	1.5053629	1024
SERINC2	0.013000503	0.019569166	1.5051464	1025
MLXIPL	0.019351898	0.02912357	1.5048687	1026
DENND2D	0.06895842	0.10375707	1.5046107	1027
SERPINF1	0.03288756	0.04948327	1.5045741	1028
GM45778	0.04738415	0.071279585	1.5042601	1029
EMID1	0.01658183	0.024939697	1.503947	1030
A630072M18RIK	0.030588157	0.04600282	1.503893	1031
MSRB2	0.019699562	0.029624471	1.5037373	1032
TMEM156	0.058558725	0.08805109	1.5036118	1033
TMEM37	0.105707854	0.15892866	1.5034565	1034
GM48194	0.011717445	0.01761768	1.5034144	1035
DPYSL3	0.01164115	0.017502561	1.5033787	1036
UBASH3A	0.013404341	0.020152804	1.5033413	1037
GM22748	0.012600084	0.0189359	1.5027199	1038
RECK	0.010135383	0.015231763	1.5026822	1039
AU041133	0.012101096	0.018181816	1.5023692	1040
DENND3	0.052258175	0.07851198	1.502358	1041
GM10382	0.025049064	0.037633613	1.5023359	1042
MED12L	0.031218268	0.0468839	1.5017617	1043
PADI4	0.07420681	0.11143997	1.5017284	1044
UPB1	0.033529304	0.050350722	1.5016483	1045
GM12216	0.015700407	0.023577753	1.5016332	1046
TTC28	0.031148437	0.04676906	1.5014416	1047
RNASE4	0.25340855	0.380427	1.5012338	1048
GM14161	0.010186007	0.015289825	1.5009143	1049
GM15472	0.010799907	0.01620467	1.5003064	1050
VCAM1	0.019681422	0.029529141	1.5002798	1051
CAPNS2	0.010946909	0.016423957	1.5001912	1052
GM32856	0.011491029	0.017239723	1.5001462	1053
SMC2	0.15810683	0.2371718	1.5000635	1054
SETD4	0.015243786	0.022867646	1.5000305	1055
CT009530.1	0.012307599	0.018463165	1.5000216	1056
E330020D12RIK	0.019850066	0.029776083	1.499974	1057
LRRC61	0.03200858	0.04801041	1.4998763	1058
CCDC126	0.020099726	0.030148426	1.4998676	1059
RUNX2	0.102216266	0.15330464	1.499792	1060
CD33	0.23265333	0.3488974	1.4996386	1061
SFN	0.026642965	0.039938595	1.4989734	1062
ZNRF3	0.022268679	0.033379093	1.4988582	1063
NLRP1B	0.05061781	0.07586926	1.4988354	1064
GM34220	0.016055772	0.024056546	1.498218	1065
CASS4	0.1309671	0.19619626	1.4980463	1066
HMOX1	0.29653186	0.44420773	1.498005	1067
SAG	0.01643492	0.024619073	1.4978822	1068
TMEM177	0.011657533	0.017461617	1.4977541	1069
PARP16	0.014629259	0.021911915	1.497712	1070
4933433G15RIK	0.030665085	0.045928687	1.497703	1071
CRIP2	0.047454827	0.071070194	1.4976074	1072
IFI44	0.050585166	0.07573833	1.4972144	1073
CFH	0.34105244	0.51055574	1.4969963	1074
KCNK1	0.012619866	0.01889215	1.496898	1075
RASGRP1	0.104203224	0.1559759	1.4968289	1076
ABTB2	0.05062642	0.07577398	1.4966984	1077
USP2	0.025685407	0.038425464	1.4959455	1078
CEP97	0.01933314	0.028921215	1.4958624	1079
GM14005	0.0779258	0.116562344	1.4957927	1080
2200002D01RIK	0.014391054	0.021526221	1.4957018	1081
SFXN5	0.074587315	0.11155834	1.4956545	1082
KLHL8	0.011850414	0.017721627	1.4953175	1083
