contrast_id	tissue	group_a	group_b	axis	axis_score_id	n_group_a	n_group_b	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	permutation_p_value	permutation_method	n_permutations	stability_class	permutation_q_within_contrast	fdr_0_05	fdr_0_10
C2_UPEC_VS_PBS_PREGNANCY	placenta	UPEC_exposed_pregnancy	PBS_pregnancy_control	nucleotide_nad_nitrogen	AXIS__nucleotide_nad_nitrogen	22	6	-0.06802177162784073	0.2494131626354186	-0.3174349342632593	-0.562065809601643	0.2268773122687731	monte_carlo	10000	moderate_stability	0.7046438213321525	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	UPEC_exposed_pregnancy	PBS_pregnancy_control	steroid_cholesterol_endocrine	AXIS__steroid_cholesterol_endocrine	22	6	-0.033861323452077575	0.1241581859909524	-0.15801950944302998	-0.308697729319989	0.49325067493250674	monte_carlo	10000	moderate_stability	0.7046438213321525	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	UPEC_exposed_pregnancy	PBS_pregnancy_control	adipokine_signaling	AXIS__adipokine_signaling	11	3	0.006651059258212158	-0.024387217280110233	0.03103827653832239	0.05725491823297366	0.9175824175824175	exact	364	small_group	0.9340659340659341	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	UPEC_exposed_pregnancy	PBS_pregnancy_control	amino_acid_metabolism	AXIS__amino_acid_metabolism	11	3	0.037850536534111835	-0.13878530062507685	0.17663583715918868	0.32199664564493596	0.6181318681318682	exact	364	small_group	0.9340659340659341	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	UPEC_exposed_pregnancy	PBS_pregnancy_control	carbohydrate_inflammatory_carbon	AXIS__carbohydrate_inflammatory_carbon	11	3	0.03397789358425925	-0.12458560980895084	0.15856350339321007	0.28248994940764505	0.6565934065934066	exact	364	small_group	0.9340659340659341	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	UPEC_exposed_pregnancy	PBS_pregnancy_control	catecholamine_stress_adjacent	AXIS__catecholamine_stress_adjacent	11	3	0.025204913805462668	-0.09241801728669537	0.11762293109215803	0.2310098355005564	0.728021978021978	exact	364	small_group	0.9340659340659341	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	UPEC_exposed_pregnancy	PBS_pregnancy_control	complement_architecture	AXIS__complement_architecture	11	3	0.04931941764445035	-0.18083786469631744	0.2301572823407678	0.7316404640846254	0.2664835164835165	exact	364	small_group	0.9340659340659341	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	UPEC_exposed_pregnancy	PBS_pregnancy_control	immune_context_anchors	AXIS__immune_context_anchors	11	3	0.018982677126850325	-0.06960314946511459	0.08858582659196491	0.16317137273518784	0.7802197802197802	exact	364	small_group	0.9340659340659341	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	UPEC_exposed_pregnancy	PBS_pregnancy_control	insulin_irs_signaling	AXIS__insulin_irs_signaling	11	3	0.05288811705337514	-0.19392309586237053	0.24681121291574568	0.35761646483892623	0.5714285714285714	exact	364	small_group	0.9340659340659341	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	UPEC_exposed_pregnancy	PBS_pregnancy_control	lipid_metabolism	AXIS__lipid_metabolism	11	3	0.022628137917920652	-0.08296983903237533	0.10559797695029598	0.20406530551193366	0.7417582417582418	exact	364	small_group	0.9340659340659341	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	UPEC_exposed_pregnancy	PBS_pregnancy_control	nucleotide_nad_nitrogen	AXIS__nucleotide_nad_nitrogen	11	3	0.007203445454988791	-0.026412633334958673	0.03361607878994746	0.06411878519776604	0.9340659340659341	exact	364	small_group	0.9340659340659341	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	UPEC_exposed_pregnancy	PBS_pregnancy_control	steroid_cholesterol_endocrine	AXIS__steroid_cholesterol_endocrine	11	3	0.010739054040474478	-0.03937653148173917	0.050115585522213645	0.1110585082946739	0.8708791208791209	exact	364	small_group	0.9340659340659341	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	UTI89_pregnant	UTI89_nonpregnant	adipokine_signaling	AXIS__adipokine_signaling	9	4	0.20279067278404636	0.16448321644178238	0.038307456342263985	0.05290615513549197	0.9356643356643357	exact	715	limited_stability	0.9706293706293707	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	UTI89_pregnant	UTI89_nonpregnant	amino_acid_metabolism	AXIS__amino_acid_metabolism	9	4	0.18014347892346555	-0.13199250290574016	0.3121359818292057	0.5526512668644922	0.35104895104895106	exact	715	limited_stability	0.7592407592407593	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	UTI89_pregnant	UTI89_nonpregnant	carbohydrate_inflammatory_carbon	AXIS__carbohydrate_inflammatory_carbon	9	4	0.1728493969715964	-0.09708807188831949	0.2699374688599159	0.4097400442093102	0.48391608391608393	exact	715	limited_stability	0.7592407592407593	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	UTI89_pregnant	UTI89_nonpregnant	catecholamine_stress_adjacent	AXIS__catecholamine_stress_adjacent	9	4	0.15467078440545945	-0.26239628267291204	0.4170670670783715	0.6364941447062991	0.2923076923076923	exact	715	limited_stability	0.7592407592407593	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	UTI89_pregnant	UTI89_nonpregnant	complement_architecture	AXIS__complement_architecture	9	4	0.19255611547911222	-0.3135854256585686	0.5061415411376808	0.7650787974985489	0.20279720279720279	exact	715	limited_stability	0.7592407592407593	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	UTI89_pregnant	UTI89_nonpregnant	immune_context_anchors	AXIS__immune_context_anchors	9	4	0.2310404136435315	0.2190947888132013	0.01194562483033021	0.01921710077716141	0.9706293706293706	exact	715	limited_stability	0.9706293706293707	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	UTI89_pregnant	UTI89_nonpregnant	insulin_irs_signaling	AXIS__insulin_irs_signaling	9	4	0.1799501156234226	-0.23587230157201558	0.4158224171954382	0.46611160991484535	0.42377622377622376	exact	715	limited_stability	0.7592407592407593	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	UTI89_pregnant	UTI89_nonpregnant	lipid_metabolism	AXIS__lipid_metabolism	9	4	0.16717284794111112	0.06879056732367997	0.09838228061743115	0.15633794836446036	0.7902097902097902	exact	715	limited_stability	0.9706293706293707	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	UTI89_pregnant	UTI89_nonpregnant	nucleotide_nad_nitrogen	AXIS__nucleotide_nad_nitrogen	9	4	0.1953858395445923	-0.17417806740989988	0.36956390695449215	0.6925115717762027	0.24335664335664337	exact	715	limited_stability	0.7592407592407593	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	UTI89_pregnant	UTI89_nonpregnant	steroid_cholesterol_endocrine	AXIS__steroid_cholesterol_endocrine	9	4	0.1510336496058635	-0.03931301736975951	0.190346666975623	0.3557449963496466	0.5314685314685315	exact	715	limited_stability	0.7592407592407593	False	False
