contrast_id	feature_id	axis	display_label	proposed_figure_family	n_tissues	n_positive_tissues	n_negative_tissues	directional_coherence_fraction	dominant_direction	median_hedges_g	mean_absolute_hedges_g
C1_PRETERM_VS_TERM	PPAR_SREBP_LXR_REGULATION	lipid_metabolism	PPAR, SREBP and LXR regulation	Figure_7	3	1	2	0.6666666666666666	negative	-0.0778318475584279	0.26985403265984326
C1_PRETERM_VS_TERM	PREGNANCY_INFLAMMATION_ANCHOR	immune_context_anchors	Pregnancy-associated inflammation anchor	Integrated_network	3	1	2	0.6666666666666666	negative	-0.5591454054564856	0.3942300591884235
C1_PRETERM_VS_TERM	PROGESTERONE_BIOSYNTHESIS_RESPONSE	steroid_cholesterol_endocrine	Progesterone biosynthesis and response	Figure_7	3	0	3	1.0	negative	-0.5030817475315358	0.3705309084334647
C1_PRETERM_VS_TERM	PURINE_DEGRADATION_URATE	nucleotide_nad_nitrogen	Purine degradation and urate	Figure_9	3	0	3	1.0	negative	-0.3218919033956605	0.34586683356200415
C1_PRETERM_VS_TERM	PURINE_DE_NOVO_SYNTHESIS	nucleotide_nad_nitrogen	De novo purine synthesis	Figure_9	3	0	3	1.0	negative	-0.1830970025422584	0.36697740407218077
C1_PRETERM_VS_TERM	PURINE_SALVAGE	nucleotide_nad_nitrogen	Purine salvage	Figure_9	3	1	2	0.6666666666666666	negative	-0.0024038860814815	0.20900729737598345
C1_PRETERM_VS_TERM	PYRIMIDINE_DEGRADATION	nucleotide_nad_nitrogen	Pyrimidine degradation	Figure_9	3	2	1	0.6666666666666666	positive	0.0543029170543344	0.3386226442012867
C1_PRETERM_VS_TERM	PYRIMIDINE_SYNTHESIS	nucleotide_nad_nitrogen	Pyrimidine synthesis	Figure_9	3	2	1	0.6666666666666666	positive	0.1124334054313158	0.46043231800752205
C1_PRETERM_VS_TERM	RESISTIN_INFLAMMATORY_SIGNALING	adipokine_signaling	Resistin-associated inflammatory signaling	Figure_8	3	1	2	0.6666666666666666	negative	-0.5059353303526654	0.5013436464845021
C1_PRETERM_VS_TERM	SERINE_GLYCINE_ONE_CARBON	amino_acid_metabolism	Serine, glycine and one-carbon metabolism	Figure_9	3	1	2	0.6666666666666666	negative	-0.0056997605645275	0.36855812033074864
C1_PRETERM_VS_TERM	SPHINGOLIPID_CERAMIDE_METABOLISM	lipid_metabolism	Sphingolipid and ceramide metabolism	Figure_7	3	0	3	1.0	negative	-0.3496892274612185	0.363393448769655
C1_PRETERM_VS_TERM	STEROIDOGENESIS_CORE	steroid_cholesterol_endocrine	Core steroidogenesis	Figure_7	3	3	0	1.0	positive	0.6984821720927213	0.6643586385246688
C1_PRETERM_VS_TERM	STEROID_SULFATION_DESULFATION	steroid_cholesterol_endocrine	Steroid sulfation and desulfation	Figure_7	3	0	3	1.0	negative	-0.4726474874056503	0.4678344592298149
C1_PRETERM_VS_TERM	TCA_OXPHOS	carbohydrate_inflammatory_carbon	TCA cycle and oxidative phosphorylation	Figure_8	3	2	1	0.6666666666666666	positive	0.1355121715783165	0.24604447917499236
C1_PRETERM_VS_TERM	TESTOSTERONE_CONVERSION_AROMATIZATION	steroid_cholesterol_endocrine	Testosterone conversion and aromatization	Figure_7	3	1	2	0.6666666666666666	negative	-0.0430798766719854	0.27487013118338477
C1_PRETERM_VS_TERM	TLR4_LPS_SIGNALING_ANCHOR	immune_context_anchors	TLR4-LPS signaling anchor	Integrated_network	3	0	3	1.0	negative	-0.0580089231599877	0.201763321255888
C1_PRETERM_VS_TERM	TRYPTOPHAN_KYNURENINE	amino_acid_metabolism	Tryptophan-kynurenine metabolism	Figure_9	3	2	1	0.6666666666666666	positive	0.0682532425171945	0.33202293653601495
C1_PRETERM_VS_TERM	UREA_CYCLE	nucleotide_nad_nitrogen	Urea cycle	Figure_9	3	1	2	0.6666666666666666	negative	-0.1202924404367891	0.28139950853629725
C1_PRETERM_VS_TERM	UROTHELIAL_BARRIER_REPAIR_ANCHOR	immune_context_anchors	Urothelial barrier and repair anchor	Integrated_network	3	1	2	0.6666666666666666	negative	-0.0944928541089426	0.30399139289183646
C1_PRETERM_VS_TERM	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	nucleotide_nad_nitrogen	Xanthine oxidase and oxidative purine catabolism	Figure_9	3	3	0	1.0	positive	0.359912719386311	0.33961555562192336
C2_UPEC_VS_PBS_PREGNANCY	ADIPOKINE_INFLAMMATORY_AXIS	adipokine_signaling	Inflammatory adipokine axis	Figure_8	3	2	1	0.6666666666666666	positive	0.2353752347036881	0.6133311465948199
C2_UPEC_VS_PBS_PREGNANCY	ADIPONECTIN_SIGNALING	adipokine_signaling	Adiponectin signaling	Figure_8	3	2	1	0.6666666666666666	positive	0.0049739763178469	0.17381699433032347
