working_figure_number	working_figure	path	filename	format	size_bytes	modified_epoch	png_width_px	png_height_px	candidate_score	canonical_U27A4_source
9	Working_Figure_9	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_9.png	UTI_HostOmics_U27A32_Figure_9.png	png	616489	1784143749.0673916	2325.0	2559.0	18021	False
9	Working_Figure_9	project://06_figures/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_Figure_9_broad_celltypes.png	UTI_HostOmics_U26D2B_Figure_9_broad_celltypes.png	png	298258	1784058777.0993452	2797.0	2363.0	17920	False
9	Working_Figure_9	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_9.svg	UTI_HostOmics_U27A2_Figure_9.svg	svg	84353	1784137647.4284587			17881	False
9	Working_Figure_9	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_9.svg	UTI_HostOmics_U27A31_Figure_9.svg	svg	135301	1784142658.5775514			17881	False
9	Working_Figure_9	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_9.svg	UTI_HostOmics_U27A3_Figure_9.svg	svg	140788	1784141580.0973916			17881	False
9	Working_Figure_9	project://06_figures/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_9_primary_effect_heatmap.svg	UTI_HostOmics_U26B1_1_Figure_9_primary_effect_heatmap.svg	svg	106687	1784051630.5804324			17880	False
9	Working_Figure_9	project://06_figures/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_9_candidate_effect_heatmap.svg	UTI_HostOmics_U26B1_Figure_9_candidate_effect_heatmap.svg	svg	123163	1784051157.6146953			17880	False
9	Working_Figure_9	project://06_figures/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_Figure_9_independent_effect_heatmap.svg	UTI_HostOmics_U26B2B1_Figure_9_independent_effect_heatmap.svg	svg	85282	1784054234.953781			17880	False
9	Working_Figure_9	project://06_figures/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_Figure_9_cross_dataset_effect_heatmap.svg	UTI_HostOmics_U26B2B_Figure_9_cross_dataset_effect_heatmap.svg	svg	158492	1784053852.3036983			17880	False
9	Working_Figure_9	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_9.svg	UTI_HostOmics_U27A_Figure_9.svg	svg	329154	1784059876.7561672			17880	False
9	Working_Figure_9	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_9.pdf	UTI_HostOmics_U27A2_Figure_9.pdf	pdf	39401	1784137647.908135			17876	False
9	Working_Figure_9	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_9.pdf	UTI_HostOmics_U27A31_Figure_9.pdf	pdf	44912	1784142659.3582878			17876	False
9	Working_Figure_9	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_9.pdf	UTI_HostOmics_U27A3_Figure_9.pdf	pdf	46055	1784141580.9431748			17876	False
